skolkod,antal_elever
11953769,..
50393060,60
85788659,19
95340745,..
59521477,32
92442684,12
66095163,51
54599691,119
54004368,152
31975673,224
82251333,20
99864908,37
27106031,47
59463950,38
63931325,15
57391913,54
75374280,20
46148350,43
50133877,67
49868916,90
74919147,62
78389879,25
24277564,14
44412461,401
36355200,61
96920524,50
18217765,78
70803636,94
49576295,41
66028861,88
23797825,53
45293715,66
77712952,53
10433896,104
43154449,21
49170638,43
46379730,39
25379974,22
88025221,323
18042101,85
56041699,..
45111086,15
70955448,155
68824244,62
46707989,88
46986216,66
67924816,111
92805465,114
56084099,..
16720048,27
13960635,79
61176909,92
43479922,22
28391147,68
21778322,60
31380193,..
62612992,119
85485803,71
16848652,26
88429477,48
94975733,35
56802300,25
15149235,56
13981977,10
24538846,28
67058407,59
15791044,32
65392939,110
98696836,85
64908550,31
77358716,64
49739986,73
29225010,32
92192566,55
56886667,336
64648566,14
65421426,298
62394916,28
67908927,24
72071234,180
24349146,129
83605345,..
15933512,136
64693272,14
18072172,..
65833454,26
11341077,31
34988313,89
28045567,159
20768651,48
38880984,125
28872974,74
18686599,52
93779220,114
77797484,68
80785976,36
47559319,37
21532545,17
56187883,12
20752831,112
51023367,15
34739511,26
52690153,16
93221031,36
17474377,18
18345915,37
68229719,16
61004230,11
71262305,18
55795961,..
84947634,27
97870412,42
68564903,56
82840198,20
18208087,33
89982804,25
19464342,..
60743463,..
32960825,12
43609520,..
41416934,72
21567982,15
49379603,..
80167319,..
73171934,..
83474173,46
91487291,..
21866405,39
74434644,50
42022406,25
88445871,103
18425335,84
93281974,45
23424275,60
19150273,19
25624692,19
88534520,32
16554575,27
25356960,74
64284020,63
98132436,77
60096875,26
26334561,19
40386043,43
29324709,11
26864271,17
59483268,..
33685428,15
88573795,10
82814120,86
10924758,19
34153869,..
88259298,..
73098153,12
44240250,37
17846181,..
75082798,85
23555409,24
91333138,26
30341162,..
39936461,27
72266906,21
27030026,17
12154972,78
16950252,26
34637764,51
73255276,28
15077883,48
48434184,48
58724424,15
51138448,16
19647256,44
56421429,16
39911065,..
17008320,..
56737496,37
88850910,15
93939982,36
25720752,20
55155562,63
31533003,26
31429031,43
16361868,..
24008049,67
36680097,..
87756916,38
59734510,34
19586169,44
24273261,15
95683850,62
59455288,24
82163292,54
25679488,23
25677996,18
89888648,36
90003262,10
88163512,33
35063170,..
31279294,17
36782335,138
20666515,18
37906565,18
67279303,39
21648755,57
11111710,24
90551279,150
93062368,16
69686851,103
49616977,13
90267145,43
72998905,26
69481650,38
88153340,40
94353434,57
59396229,66
95165649,51
69626109,43
85068812,..
36444853,29
15414001,55
38311488,32
16819383,45
12994441,11
53660780,105
30086854,40
