skolkod,andel_minst_e_gyarb
85054102,"100,0"
87274273,"100,0"
89693952,.
24759907,"80,9"
78433202,"94,9"
41631104,"93,8"
35366805,"100,0"
31315191,"92,7"
80357110,"91,3"
42775003,"100,0"
56670842,"100,0"
89370947,"99,2"
18451445,..
48555205,"91,6"
31313926,"93,1"
30312720,"100,0"
32116280,"100,0"
57143976,"97,2"
93367005,"100,0"
53175499,"100,0"
64388538,"100,0"
52153758,"100,0"
16501673,"92,1"
26298615,"100,0"
22116645,"98,1"
99755443,"97,9"
30167976,"95,3"
50104466,"100,0"
28004794,..
32071849,"100,0"
79845033,"98,8"
41099519,"97,3"
59386837,"98,6"
21627442,"100,0"
17276047,"92,5"
73217812,"94,7"
21382451,"95,3"
48244956,"94,5"
36769815,"100,0"
16931486,"95,2"
92489953,"92,6"
43873969,"97,4"
55825382,"92,1"
19306558,"100,0"
35301145,"90,0"
24993048,"92,0"
70132092,"98,3"
65034473,..
13084253,"94,1"
32321364,"90,9"
59942080,"95,0"
66273269,"95,0"
82888663,"94,9"
11275959,"98,8"
58518163,"90,0"
50615280,"100,0"
19035583,"100,0"
27993549,"94,4"
37912396,"100,0"
45593337,"93,4"
90312942,"98,8"
10226870,"100,0"
19839859,"100,0"
80280597,..
67628478,"100,0"
37517404,"100,0"
29159460,"100,0"
32057701,"100,0"
43601850,"100,0"
30615080,"87,9"
89630851,"95,3"
25178582,"95,7"
70543431,"100,0"
23476801,..
86351879,"100,0"
56041144,"98,1"
14586562,..
74322969,"98,2"
90260899,"94,4"
69302313,"100,0"
31057219,"97,3"
27079521,"100,0"
33572033,"95,8"
64579522,"100,0"
65234368,"100,0"
34381901,"96,0"
55150847,"95,0"
90076461,"93,9"
96414537,"100,0"
53069733,"98,0"
99394620,"100,0"
95368476,"97,7"
14853321,"98,0"
76448076,"93,9"
31537066,"100,0"
86488203,"97,8"
25156286,"97,1"
28081446,"98,9"
21400668,"95,2"
92949043,"98,7"
92818240,"96,7"
