program,skolkod,andel_med_examen
nationella program,83161201,"91,4"
nationella program,15100079,..
nationella program,55421481,..
nationella program,99356671,"64,7"
nationella program,16702464,"91,3"
nationella program,71353314,..
nationella program,29449669,"89,8"
nationella program,62855448,"88,9"
nationella program,36252055,"94,5"
nationella program,91812793,"98,0"
nationella program,14355031,"97,8"
nationella program,72891848,"78,6"
nationella program,46611859,"91,1"
nationella program,58907711,"100,0"
nationella program,68285560,"96,0"
nationella program,58544422,"92,8"
nationella program,65150019,"91,7"
nationella program,31796890,..
nationella program,22426680,..
nationella program,83805032,"69,0"
nationella program,48862305,"88,9"
nationella program,32887559,"91,3"
nationella program,71541108,"77,5"
nationella program,53832505,"61,0"
nationella program,47537928,"75,9"
nationella program,69471748,"76,5"
nationella program,49750031,"98,0"
nationella program,76485705,"98,2"
nationella program,93239262,"92,1"
nationella program,25745773,"92,8"
nationella program,99976753,"88,2"
nationella program,14278480,"80,6"
nationella program,75575321,"97,7"
nationella program,28023078,"89,2"
nationella program,43284031,"94,0"
nationella program,13963517,"100,0"
nationella program,24194577,..
nationella program,26267406,"100,0"
nationella program,31255918,"89,7"
nationella program,51955293,"97,9"
nationella program,57690933,"95,8"
nationella program,35035671,"82,4"
nationella program,12130801,"92,7"
nationella program,51736304,"93,8"
nationella program,53180719,"90,5"
nationella program,27489137,"100,0"
nationella program,15609112,"100,0"
nationella program,44285075,"82,9"
nationella program,60424371,"88,2"
nationella program,95785055,"100,0"
nationella program,68655578,"80,8"
nationella program,17062663,"96,4"
nationella program,68741484,"88,8"
nationella program,56267421,"100,0"
nationella program,34990065,"91,1"
nationella program,37054246,"93,1"
nationella program,39199869,"98,4"
nationella program,62216381,"89,8"
nationella program,31179045,"86,1"
nationella program,72421673,"96,6"
nationella program,15763669,..
nationella program,59655752,"92,3"
nationella program,88750078,"93,9"
nationella program,41878314,..
nationella program,41555549,"92,6"
nationella program,32003298,"100,0"
nationella program,22383788,"95,7"
nationella program,85459854,"99,0"
nationella program,81876614,"98,3"
nationella program,18711877,"98,1"
nationella program,67071618,"94,0"
nationella program,75324351,"97,1"
nationella program,61229217,"79,2"
nationella program,58929357,"100,0"
nationella program,42517257,"81,3"
nationella program,70376604,"93,9"
nationella program,59575030,"92,9"
nationella program,93503103,"100,0"
nationella program,18617410,"86,5"
nationella program,41697930,"98,8"
nationella program,28025244,"86,7"
nationella program,17184072,"100,0"
nationella program,40338843,"94,0"
nationella program,77440824,"94,9"
nationella program,71069359,"100,0"
nationella program,86896907,"93,5"
nationella program,14292382,"92,7"
nationella program,51981332,"100,0"
nationella program,87859089,"86,4"
