program,skolkod,andel_minst_e_sam1
Nationella program,54839753,..
Nationella program,32705515,"100,0"
Nationella program,60214465,"100,0"
Nationella program,70137084,"98,9"
Nationella program,82002016,"97,0"
Nationella program,21901328,"100,0"
Nationella program,23306658,"99,2"
Nationella program,57350392,..
Nationella program,97535124,"100,0"
Nationella program,11102578,"99,0"
Nationella program,69306209,"100,0"
Nationella program,92651253,"85,7"
Nationella program,31740319,"97,3"
Nationella program,10129345,"100,0"
Nationella program,17944628,"100,0"
Nationella program,82826083,"90,6"
Nationella program,94468610,"97,3"
Nationella program,94090461,"98,9"
Nationella program,12954099,"100,0"
Nationella program,80931789,"95,3"
Nationella program,84098842,"100,0"
Nationella program,90473340,"87,1"
Nationella program,26167236,"92,9"
Nationella program,69807202,"97,3"
Nationella program,64648904,"98,0"
Nationella program,75939593,"99,4"
Nationella program,63035915,"86,1"
Nationella program,26324896,"100,0"
Nationella program,56639389,"100,0"
Nationella program,95700485,"100,0"
Nationella program,51449748,"100,0"
Nationella program,28267726,"94,0"
Nationella program,28848709,"80,0"
Nationella program,12613085,"100,0"
Nationella program,53896162,"98,6"
Nationella program,17779637,"100,0"
Nationella program,11185244,"82,9"
Nationella program,56211717,"95,0"
Nationella program,66824652,"91,5"
Nationella program,49168016,"100,0"
Nationella program,32042066,"92,3"
Nationella program,50821167,"100,0"
Nationella program,71929526,"100,0"
Nationella program,92814975,"100,0"
Nationella program,60873719,"98,8"
Nationella program,28085125,"100,0"
Nationella program,28770304,"89,2"
Nationella program,21938183,"100,0"
Nationella program,78986228,.
Nationella program,71472793,"100,0"
Nationella program,64123241,"100,0"
Nationella program,69063711,"100,0"
Nationella program,77609073,"88,5"
Nationella program,35894996,"100,0"
Nationella program,12926770,"100,0"
Nationella program,17119840,"90,9"
Nationella program,68748767,"85,1"
Nationella program,23548714,"95,2"
Nationella program,48593439,"100,0"
Nationella program,91773491,"100,0"
Nationella program,30361243,"100,0"
Nationella program,25596917,"96,9"
Nationella program,65722876,"97,2"
Nationella program,20984584,"73,7"
Nationella program,52129378,"98,6"
Nationella program,65381163,"91,4"
Nationella program,98541468,"83,3"
Nationella program,31155312,"90,0"
Nationella program,25648215,"91,7"
Nationella program,61823258,"95,8"
Nationella program,84424083,"99,5"
Nationella program,39178171,"100,0"
Nationella program,49231191,"91,5"
Nationella program,78231062,"100,0"
Nationella program,79994304,..
Nationella program,10481541,"98,4"
Nationella program,68006362,"96,7"
Nationella program,11608031,"88,2"
Nationella program,86762103,"89,3"
Nationella program,68381790,"98,8"
Nationella program,13006857,"97,5"
Nationella program,76007769,"79,5"
Nationella program,16956086,"96,5"
Nationella program,58187973,"100,0"
Nationella program,88894245,"95,2"
Nationella program,31870541,"100,0"
Nationella program,71160225,"100,0"
Nationella program,67752682,"97,9"
Nationella program,47884009,"83,9"
Nationella program,44672598,"99,3"
Nationella program,75340089,"100,0"
Nationella program,36670439,"92,3"
Nationella program,22220001,"86,4"
Nationella program,31822012,"98,9"
Nationella program,83161201,"100,0"
Nationella program,15100079,..
Nationella program,55421481,..
Nationella program,99356671,"100,0"
Nationella program,16702464,"91,3"
Nationella program,71353314,..
Nationella program,29449669,"98,1"
Nationella program,62855448,"100,0"
Nationella program,36252055,"98,6"
Nationella program,91812793,"99,4"
Nationella program,14355031,"100,0"
Nationella program,72891848,"85,7"
Nationella program,46611859,"97,2"
Nationella program,58907711,"100,0"
Nationella program,68285560,"100,0"
Nationella program,58544422,"100,0"
Nationella program,65150019,"100,0"
Nationella program,31796890,..
Nationella program,22426680,"100,0"
Nationella program,83805032,"96,6"
Nationella program,48862305,"81,5"
Nationella program,32887559,"91,3"
Nationella program,71541108,"97,5"
Nationella program,53832505,"97,6"
Nationella program,47537928,"100,0"
Nationella program,69471748,"94,8"
Nationella program,49750031,"100,0"
Nationella program,76485705,"100,0"
Nationella program,93239262,"100,0"
Nationella program,25745773,"100,0"
Nationella program,99976753,"100,0"
Nationella program,14278480,"91,7"
Nationella program,75575321,"100,0"
Nationella program,28023078,"86,2"
Nationella program,43284031,"96,4"
Nationella program,13963517,"100,0"
Nationella program,24194577,..
Nationella program,26267406,"91,7"
Nationella program,31255918,"92,6"
Nationella program,51955293,"96,8"
Nationella program,57690933,"98,9"
Nationella program,35035671,"70,6"
Nationella program,12130801,"100,0"
Nationella program,51736304,"100,0"
Nationella program,53180719,"97,3"
Nationella program,27489137,"100,0"
Nationella program,15609112,"100,0"
Nationella program,44285075,"97,1"
Nationella program,60424371,"97,1"
Nationella program,95785055,"100,0"
Nationella program,68655578,"88,0"
Nationella program,17062663,"98,2"
Nationella program,68741484,"100,0"
Nationella program,56267421,"100,0"
Nationella program,34990065,"92,9"
Nationella program,37054246,"97,2"
Nationella program,39199869,"98,4"
Nationella program,62216381,"93,9"
Nationella program,31179045,"91,7"
Nationella program,72421673,"96,6"
Nationella program,15763669,..
Nationella program,59655752,"100,0"
Nationella program,88750078,"91,8"
Nationella program,41878314,..
Nationella program,41555549,"100,0"
Nationella program,32003298,"100,0"
Nationella program,22383788,"95,7"
Nationella program,85459854,"96,1"
Nationella program,81876614,"100,0"
Nationella program,18711877,"96,2"
Nationella program,67071618,"100,0"
Nationella program,75324351,"100,0"
Nationella program,61229217,"95,8"
Nationella program,58929357,"100,0"
Nationella program,42517257,"90,6"
Nationella program,70376604,"92,4"
Nationella program,59575030,"100,0"
Nationella program,93503103,"90,9"
Nationella program,18617410,"98,6"
Nationella program,41697930,"97,6"
Nationella program,28025244,"100,0"
Nationella program,17184072,"100,0"
Nationella program,40338843,"100,0"
Nationella program,77440824,"100,0"
Nationella program,71069359,"100,0"
Nationella program,86896907,"96,8"
Nationella program,14292382,"98,2"
Nationella program,51981332,"100,0"
Nationella program,87859089,"98,3"
Nationella program,54764253,"100,0"
Nationella program,98908403,"94,9"
Nationella program,16493131,"99,1"
Nationella program,41119610,"98,2"
Nationella program,83272868,"100,0"
Nationella program,11526364,"100,0"
Nationella program,48304166,"76,6"
Nationella program,24982097,"100,0"
Nationella program,45552626,"97,9"
Nationella program,50906954,.
Nationella program,97104132,"100,0"
Nationella program,16748680,"100,0"
Nationella program,68597767,"100,0"
Nationella program,27964873,"91,7"
Nationella program,30706655,"72,5"
Nationella program,65674821,"100,0"
Nationella program,92332557,"98,8"
Nationella program,46332927,"100,0"
Nationella program,78690637,"96,4"
Nationella program,24653673,"85,7"
Nationella program,38048202,"97,3"
Nationella program,90990441,"93,8"
Nationella program,86319615,"100,0"
Nationella program,87303004,"100,0"
Nationella program,97835550,"95,5"
Nationella program,22446331,"89,2"
Nationella program,26671095,"91,8"
Nationella program,42911621,"93,8"
Nationella program,40575001,"93,0"
Nationella program,75027822,"100,0"
Nationella program,26508763,"94,8"
Nationella program,14504503,"100,0"
Nationella program,21850904,"100,0"
Nationella program,65320354,"100,0"
Nationella program,77544055,"100,0"
Nationella program,49112879,"96,0"
Nationella program,30279258,"100,0"
Nationella program,16198647,"100,0"
Nationella program,12496135,"100,0"
Nationella program,76903284,"100,0"
Nationella program,68649663,"91,9"
Nationella program,43623146,..
Nationella program,49141105,"98,1"
Nationella program,15870428,"89,8"
Nationella program,26646080,"100,0"
Nationella program,26750052,"100,0"
Nationella program,18974693,"100,0"
Nationella program,26996566,"100,0"
Nationella program,27704246,"99,4"
Nationella program,81997762,"98,4"
Nationella program,28967085,..
Nationella program,69747871,..
Nationella program,70119254,..
Nationella program,31151740,"100,0"
Nationella program,79346084,"99,5"
Nationella program,34222422,"100,0"
Nationella program,84230226,..
Nationella program,42060237,"84,1"
Nationella program,89816391,"93,5"
Nationella program,14448619,"99,1"
Nationella program,12546590,"100,0"
Nationella program,43565270,"98,1"
Nationella program,77176811,"100,0"
Nationella program,52791537,"99,2"
Nationella program,85152591,"100,0"
Nationella program,85819857,"99,2"
Nationella program,40600798,"100,0"
Nationella program,52942981,"100,0"
Nationella program,54117171,"100,0"
Nationella program,48120273,"100,0"
Nationella program,33233228,..
Nationella program,94167577,"90,1"
Nationella program,27023528,"92,6"
Nationella program,53903798,"97,5"
Nationella program,85782695,"92,3"
Nationella program,98815582,"92,0"
Nationella program,97770837,"99,1"
Nationella program,21312503,"97,4"
Nationella program,69650864,"100,0"
Nationella program,59581397,"100,0"
Nationella program,14926020,"84,2"
Nationella program,41938272,"99,0"
Nationella program,29423248,"99,0"
Nationella program,76054399,"100,0"
Nationella program,33132452,"86,9"
Nationella program,56942970,..
Nationella program,60142020,..
Nationella program,70811222,"100,0"
Nationella program,17911161,"92,8"
Nationella program,35084976,"96,0"
Nationella program,25525759,.
Nationella program,77632411,"99,4"
Nationella program,56653353,"97,9"
Nationella program,49068301,"100,0"
Nationella program,59898194,"100,0"
Nationella program,38195284,"100,0"
Nationella program,97510495,"98,6"
Nationella program,89461767,"100,0"
Nationella program,94717858,"100,0"
Nationella program,53760158,"100,0"
Nationella program,78422467,"93,2"
Nationella program,37802196,..
Nationella program,38683336,"100,0"
Nationella program,36288955,"100,0"
Nationella program,74812809,"100,0"
Nationella program,88839172,"100,0"
Nationella program,48412612,"100,0"
Nationella program,95618280,"91,5"
Nationella program,75075402,"96,5"
Nationella program,26326048,"95,8"
Nationella program,37839488,"94,5"
Nationella program,46256929,"100,0"
Nationella program,83374651,"100,0"
Nationella program,59796774,"100,0"
Nationella program,17675502,"100,0"
Nationella program,75600007,"100,0"
Nationella program,73812226,"93,3"
Nationella program,30762346,..
Nationella program,82964090,"100,0"
Nationella program,88955893,"100,0"
Nationella program,15278518,"95,8"
Nationella program,15390992,"100,0"
Nationella program,63943560,"100,0"
Nationella program,85516596,"97,2"
Nationella program,31998226,..
Nationella program,38236800,"95,8"
Nationella program,16784385,"98,8"
Nationella program,59026584,"94,7"
Nationella program,79829846,"92,9"
Nationella program,89963319,..
Nationella program,24339566,"99,4"
Nationella program,20061769,"100,0"
Nationella program,65458415,..
Nationella program,95154882,..
Nationella program,52333875,"89,8"
Nationella program,24663703,..
Nationella program,28519815,"94,3"
Nationella program,65666808,"91,2"
Nationella program,69543519,"88,9"
Nationella program,24397215,"95,5"
Nationella program,30677562,"96,3"
Nationella program,85054102,"76,2"
Nationella program,87274273,"100,0"
Nationella program,89693952,.
Nationella program,24759907,"85,8"
Nationella program,78433202,"98,3"
Nationella program,41631104,"87,5"
Nationella program,35366805,"96,4"
Nationella program,31315191,"100,0"
Nationella program,80357110,"91,3"
Nationella program,42775003,"100,0"
Nationella program,56670842,"100,0"
Nationella program,89370947,"100,0"
Nationella program,18451445,..
Nationella program,48555205,"99,6"
Nationella program,31313926,"96,6"
Nationella program,30312720,"100,0"
Nationella program,32116280,"100,0"
Nationella program,57143976,"100,0"
Nationella program,93367005,"98,9"
Nationella program,53175499,"100,0"
Nationella program,64388538,"98,9"
Nationella program,52153758,"100,0"
Nationella program,16501673,"100,0"
Nationella program,26298615,"95,7"
Nationella program,22116645,"99,0"
Nationella program,99755443,"100,0"
Nationella program,30167976,"100,0"
Nationella program,50104466,"95,0"
Nationella program,28004794,..
Nationella program,32071849,"100,0"
Nationella program,79845033,"95,3"
Nationella program,41099519,"93,3"
Nationella program,59386837,"97,3"
Nationella program,21627442,"98,2"
Nationella program,17276047,"98,1"
Nationella program,73217812,"89,5"
Nationella program,21382451,"100,0"
Nationella program,48244956,"100,0"
Nationella program,36769815,"100,0"
Nationella program,16931486,"100,0"
Nationella program,92489953,"100,0"
Nationella program,43873969,"98,1"
Nationella program,55825382,"96,1"
Nationella program,19306558,"100,0"
Nationella program,35301145,"100,0"
Nationella program,24993048,"96,0"
Nationella program,70132092,"98,3"
Nationella program,65034473,..
Nationella program,13084253,"93,1"
Nationella program,32321364,"100,0"
Nationella program,59942080,"97,5"
Nationella program,66273269,"97,5"
Nationella program,82888663,"100,0"
Nationella program,11275959,"95,3"
Nationella program,58518163,"100,0"
Nationella program,50615280,"100,0"
