program,provnamn,skol_kod,gnm_betp
vård- och omsorgsprogrammet,engelska 5,85214294,"13,3"
bygg- och anläggningsprogrammet,engelska 5,82084961,"12,1"
el- och energiprogrammet,engelska 5,82084961,"14,4"
vvs- och fastighetsprogrammet,engelska 5,82084961,"11,8"
el- och energiprogrammet,engelska 5,46162400,"13,9"
industritekniska programmet,engelska 5,46162400,"14,7"
fordons- och transportprogrammet,engelska 5,98369689,"12,1"
bygg- och anläggningsprogrammet,engelska 5,56529916,"12,8"
hantverksprogrammet,engelska 5,56529916,"12,2"
restaurang- och livsmedelsprogrammet,engelska 5,40810950,"13,0"
vård- och omsorgsprogrammet,engelska 5,40037982,"12,9"
vvs- och fastighetsprogrammet,engelska 5,73829818,"12,0"
handels- och administrationsprogrammet,engelska 5,18881773,"8,6"
hantverksprogrammet,engelska 5,12279302,"11,9"
vård- och omsorgsprogrammet,engelska 5,12279302,"10,3"
bygg- och anläggningsprogrammet,engelska 5,17849518,..
fordons- och transportprogrammet,engelska 5,17849518,..
barn- och fritidsprogrammet,engelska 5,91984508,"11,0"
naturbruksprogrammet,engelska 5,78659008,"12,0"
barn- och fritidsprogrammet,engelska 5,12448823,..
el- och energiprogrammet,engelska 5,12448823,"13,5"
barn- och fritidsprogrammet,engelska 5,40667807,"11,8"
fordons- och transportprogrammet,engelska 5,40667807,"7,0"
vård- och omsorgsprogrammet,engelska 5,40667807,"12,2"
bygg- och anläggningsprogrammet,engelska 5,18091973,"11,6"
el- och energiprogrammet,engelska 5,18091973,..
industritekniska programmet,engelska 5,18091973,"11,8"
naturbruksprogrammet,engelska 5,18091973,"11,0"
barn- och fritidsprogrammet,engelska 5,40634612,"11,3"
el- och energiprogrammet,engelska 5,40634612,"14,7"
restaurang- och livsmedelsprogrammet,engelska 5,66132676,"13,0"
barn- och fritidsprogrammet,engelska 5,80762863,"8,2"
vård- och omsorgsprogrammet,engelska 5,80762863,"12,2"
hantverksprogrammet,engelska 5,77688926,"11,2"
vvs- och fastighetsprogrammet,engelska 5,14508922,"12,0"
bygg- och anläggningsprogrammet,engelska 5,69629086,"11,2"
el- och energiprogrammet,engelska 5,69629086,"13,5"
fordons- och transportprogrammet,engelska 5,69629086,"11,2"
naturbruksprogrammet,engelska 5,88624631,"11,2"
naturbruksprogrammet,engelska 5,35390185,..
hantverksprogrammet,engelska 5,37358234,..
bygg- och anläggningsprogrammet,engelska 5,31657916,..
el- och energiprogrammet,engelska 5,31657916,..
fordons- och transportprogrammet,engelska 5,31657916,"9,3"
handels- och administrationsprogrammet,engelska 5,31657916,..
sjöfartsutbildningen,engelska 5,31657916,"11,5"
vård- och omsorgsprogrammet,engelska 5,31657916,"11,9"
handels- och administrationsprogrammet,engelska 5,54606928,"9,3"
fordons- och transportprogrammet,engelska 5,46241804,"11,9"
el- och energiprogrammet,engelska 5,42573391,"16,4"
handels- och administrationsprogrammet,engelska 5,42573391,"12,1"
hantverksprogrammet,engelska 5,42573391,"12,2"
barn- och fritidsprogrammet,engelska 5,64574972,"7,5"
vård- och omsorgsprogrammet,engelska 5,64574972,"10,3"
bygg- och anläggningsprogrammet,engelska 5,19741742,"13,8"
restaurang- och livsmedelsprogrammet,engelska 5,19741742,"11,1"
vvs- och fastighetsprogrammet,engelska 5,19741742,"12,1"
