program,skolkod,andel_minst_e_sva1
nationella program,45111086,.
nationella program,70955448,.
nationella program,68824244,"92,9"
nationella program,90685868,..
nationella program,24501884,.
nationella program,46707989,..
nationella program,46986216,..
nationella program,67924816,..
nationella program,92805465,..
nationella program,56084099,..
nationella program,80711021,..
nationella program,17648596,..
nationella program,16720048,..
nationella program,13960635,.
nationella program,39341381,..
nationella program,61176909,..
nationella program,43479922,.
nationella program,60088179,..
nationella program,28391147,..
nationella program,29209307,"100,0"
nationella program,21778322,"100,0"
nationella program,31380193,..
nationella program,90290154,.
nationella program,25847233,..
nationella program,62612992,..
nationella program,85485803,..
nationella program,92816527,..
nationella program,16848652,..
nationella program,88429477,..
nationella program,94975733,..
nationella program,56802300,..
nationella program,15149235,..
nationella program,77379848,..
nationella program,13981977,.
nationella program,24538846,.
nationella program,36886750,.
nationella program,67422309,..
nationella program,67058407,..
nationella program,34421265,.
nationella program,15791044,..
nationella program,65392939,..
nationella program,98696836,..
nationella program,82160887,.
nationella program,23175129,.
nationella program,64908550,..
nationella program,77358716,.
nationella program,49739986,.
nationella program,29225010,..
nationella program,92192566,"100,0"
nationella program,56886667,"100,0"
nationella program,33249781,.
nationella program,64648566,"100,0"
nationella program,18691102,..
nationella program,70302356,..
nationella program,65421426,"100,0"
nationella program,62394916,..
nationella program,67908927,..
nationella program,72071234,..
nationella program,24349146,"100,0"
nationella program,83605345,..
nationella program,15933512,"100,0"
nationella program,12198363,.
nationella program,47692481,"100,0"
nationella program,64693272,.
nationella program,18072172,.
nationella program,65833454,.
nationella program,85188855,.
nationella program,11341077,.
nationella program,39528347,..
nationella program,34988313,..
nationella program,85473846,..
nationella program,29744774,.
nationella program,89690587,..
nationella program,28045567,..
nationella program,20768651,..
nationella program,32239920,..
nationella program,98781765,..
nationella program,38880984,..
nationella program,28872974,..
nationella program,87112995,..
nationella program,18686599,.
nationella program,93779220,.
nationella program,77797484,..
nationella program,53279140,..
nationella program,80785976,..
nationella program,47559319,.
nationella program,21532545,..
nationella program,56187883,..
nationella program,20752831,..
nationella program,51023367,..
nationella program,34739511,.
nationella program,95069937,..
nationella program,52690153,..
högskoleförberedande program,74776778,..
högskoleförberedande program,18345915,..
högskoleförberedande program,68229719,..
högskoleförberedande program,61004230,..
högskoleförberedande program,71262305,..
högskoleförberedande program,55795961,..
högskoleförberedande program,84947634,.
högskoleförberedande program,23517336,..
högskoleförberedande program,48009865,"100,0"
högskoleförberedande program,82840198,..
