program,skolkod,andel_minst_e_re1
Nationella program,80405898,"100,0"
Nationella program,56021320,"66,7"
Nationella program,41358402,"92,0"
Nationella program,63179610,"100,0"
Nationella program,64569393,"97,7"
Nationella program,87262566,"80,5"
Nationella program,64160122,"100,0"
Nationella program,48217580,"90,8"
Nationella program,41844601,"85,0"
Nationella program,51620045,"93,6"
Nationella program,86888278,"100,0"
Nationella program,23457902,"100,0"
Nationella program,27597104,"91,3"
Nationella program,57397381,"93,3"
Nationella program,56947954,"98,1"
Nationella program,72022487,"95,6"
Nationella program,71512894,"98,4"
Nationella program,70969556,"100,0"
Nationella program,28248021,"87,0"
Nationella program,44417214,"95,4"
Nationella program,25025681,"100,0"
Nationella program,88776535,"98,8"
Nationella program,49488344,"80,5"
Nationella program,74408578,"96,3"
Nationella program,71043974,"97,0"
Nationella program,57777751,..
Nationella program,38732602,"100,0"
Nationella program,89807183,"94,9"
Nationella program,86724994,"96,4"
Nationella program,61161774,"97,8"
Nationella program,86158933,"89,3"
Nationella program,14102256,"100,0"
Nationella program,75082280,"85,7"
Nationella program,75914181,"88,7"
Nationella program,39302565,"96,7"
Nationella program,96818167,"94,1"
Nationella program,36072799,"100,0"
Nationella program,61432781,"94,4"
Nationella program,78287294,"92,6"
Nationella program,74316305,"85,7"
Nationella program,39096170,"94,1"
Nationella program,79527481,"93,3"
Nationella program,67300857,"90,9"
Nationella program,99279503,"97,1"
Nationella program,63653488,..
Nationella program,84476205,"97,8"
Nationella program,24544503,"98,2"
Nationella program,25392789,"100,0"
Nationella program,72109637,..
Nationella program,69240218,"97,7"
Nationella program,14057258,"100,0"
Nationella program,38460895,"100,0"
Nationella program,31199511,"100,0"
Nationella program,12934438,"99,0"
Nationella program,43313366,"96,8"
Nationella program,86787111,"97,1"
Nationella program,97868185,"93,1"
Nationella program,81551726,"61,1"
Nationella program,77823650,"93,0"
Nationella program,37550979,"100,0"
Nationella program,52634142,"100,0"
Nationella program,76195214,"95,4"
Nationella program,54839753,..
Nationella program,32705515,"87,3"
Nationella program,60214465,"94,6"
Nationella program,70137084,"70,5"
Nationella program,82002016,"86,6"
Nationella program,21901328,"84,2"
Nationella program,23306658,"95,8"
Nationella program,57350392,..
Nationella program,97535124,"100,0"
Nationella program,11102578,"100,0"
Nationella program,69306209,"100,0"
Nationella program,92651253,"90,5"
Nationella program,31740319,"97,3"
Nationella program,10129345,"95,5"
Nationella program,17944628,"99,2"
Nationella program,82826083,"84,4"
Nationella program,94468610,"100,0"
Nationella program,94090461,"94,4"
Nationella program,12954099,"97,4"
Nationella program,80931789,"98,4"
Nationella program,84098842,"96,6"
Nationella program,90473340,"96,8"
Nationella program,26167236,"73,2"
Nationella program,69807202,"98,6"
Nationella program,64648904,"100,0"
Nationella program,75939593,"99,1"
Nationella program,63035915,"89,1"
Nationella program,26324896,"93,5"
Nationella program,56639389,"99,7"
Nationella program,95700485,"100,0"
Nationella program,51449748,"91,7"
Nationella program,28267726,"96,0"
Nationella program,28848709,"95,0"
Nationella program,12613085,"100,0"
Nationella program,53896162,"98,3"
Nationella program,17779637,"98,9"
Nationella program,11185244,"94,3"
Nationella program,56211717,"70,0"
Nationella program,66824652,"76,6"
Nationella program,49168016,"93,1"
Nationella program,32042066,"94,2"
Nationella program,50821167,"100,0"
Nationella program,71929526,"96,8"
Nationella program,92814975,"77,5"
Nationella program,60873719,"100,0"
Nationella program,28085125,"93,8"
Nationella program,28770304,"81,1"
Nationella program,21938183,"97,1"
Nationella program,78986228,.
Nationella program,71472793,"96,8"
Nationella program,64123241,"93,3"
Nationella program,69063711,"93,0"
Nationella program,77609073,"92,3"
Nationella program,35894996,"97,5"
Nationella program,12926770,"97,4"
Nationella program,17119840,"90,9"
Nationella program,68748767,"79,8"
Nationella program,23548714,"93,7"
Nationella program,48593439,"86,7"
Nationella program,91773491,"95,7"
Nationella program,30361243,"99,3"
Nationella program,25596917,"93,0"
Nationella program,65722876,"96,5"
Nationella program,20984584,"63,2"
Nationella program,52129378,"86,3"
Nationella program,65381163,"96,3"
Nationella program,98541468,..
Nationella program,31155312,"86,0"
Nationella program,25648215,"68,8"
Nationella program,61823258,"79,2"
Nationella program,84424083,"100,0"
Nationella program,39178171,"100,0"
Nationella program,49231191,"100,0"
Nationella program,78231062,"100,0"
Nationella program,79994304,..
Nationella program,10481541,"94,3"
Nationella program,68006362,"87,7"
Nationella program,11608031,"94,1"
Nationella program,86762103,"78,6"
Nationella program,68381790,"91,6"
Nationella program,13006857,"92,9"
Nationella program,76007769,"82,1"
Nationella program,16956086,"93,5"
Nationella program,58187973,"100,0"
Nationella program,88894245,"100,0"
Nationella program,31870541,"98,7"
Nationella program,71160225,"96,0"
Nationella program,67752682,"91,7"
Nationella program,47884009,"80,6"
Nationella program,44672598,"100,0"
Nationella program,75340089,"100,0"
Nationella program,36670439,"88,5"
Nationella program,22220001,"89,8"
Nationella program,31822012,"92,6"
Nationella program,83161201,"95,1"
Nationella program,15100079,..
Nationella program,55421481,..
Nationella program,99356671,"76,5"
Nationella program,16702464,"100,0"
Nationella program,71353314,..
Nationella program,29449669,"91,7"
Nationella program,62855448,"100,0"
Nationella program,36252055,"98,6"
Nationella program,91812793,"99,4"
Nationella program,14355031,"84,4"
Nationella program,72891848,"88,1"
Nationella program,46611859,"89,4"
Nationella program,58907711,"99,2"
Nationella program,68285560,"98,0"
Nationella program,58544422,"100,0"
Nationella program,65150019,"97,2"
Nationella program,31796890,..
Nationella program,22426680,"84,6"
Nationella program,83805032,"86,2"
Nationella program,48862305,"87,7"
Nationella program,32887559,"100,0"
Nationella program,71541108,"90,0"
Nationella program,53832505,"97,6"
Nationella program,47537928,"96,6"
Nationella program,69471748,"70,4"
Nationella program,49750031,"100,0"
Nationella program,76485705,"100,0"
Nationella program,93239262,"98,7"
Nationella program,25745773,"98,6"
Nationella program,99976753,"93,5"
Nationella program,14278480,"80,6"
Nationella program,75575321,"100,0"
Nationella program,28023078,"93,8"
Nationella program,43284031,"91,6"
Nationella program,13963517,"100,0"
Nationella program,24194577,..
Nationella program,26267406,"100,0"
Nationella program,31255918,"98,5"
Nationella program,51955293,"92,6"
Nationella program,57690933,"98,9"
Nationella program,35035671,"64,7"
Nationella program,12130801,"100,0"
Nationella program,51736304,"90,6"
Nationella program,53180719,"98,6"
Nationella program,27489137,"100,0"
Nationella program,15609112,"80,0"
Nationella program,44285075,"97,1"
Nationella program,60424371,"100,0"
Nationella program,95785055,"100,0"
Nationella program,68655578,"92,0"
Nationella program,17062663,"100,0"
Nationella program,68741484,"97,0"
Nationella program,56267421,"100,0"
Nationella program,34990065,"98,2"
Nationella program,37054246,"94,4"
Nationella program,39199869,"98,4"
Nationella program,62216381,"91,8"
Nationella program,31179045,"95,8"
Nationella program,72421673,"98,3"
Nationella program,15763669,..
Nationella program,59655752,"96,2"
Nationella program,88750078,"91,8"
Nationella program,41878314,..
Nationella program,41555549,"100,0"
Nationella program,32003298,"100,0"
Nationella program,22383788,"100,0"
Nationella program,85459854,"98,1"
Nationella program,81876614,"96,6"
Nationella program,18711877,"96,2"
Nationella program,67071618,"100,0"
Nationella program,75324351,"97,1"
Nationella program,61229217,"94,4"
Nationella program,58929357,"100,0"
Nationella program,42517257,"84,4"
Nationella program,70376604,"93,9"
Nationella program,59575030,"96,4"
Nationella program,93503103,"100,0"
Nationella program,18617410,"98,6"
Nationella program,41697930,"95,2"
Nationella program,28025244,"91,1"
Nationella program,17184072,"100,0"
Nationella program,40338843,"98,8"
Nationella program,77440824,"94,9"
Nationella program,71069359,"88,2"
Nationella program,86896907,"100,0"
Nationella program,14292382,"98,2"
Nationella program,51981332,"100,0"
Nationella program,87859089,"94,9"
Nationella program,54764253,"93,6"
Nationella program,98908403,"92,9"
Nationella program,16493131,"94,4"
Nationella program,41119610,"98,2"
Nationella program,83272868,"100,0"
Nationella program,11526364,"94,3"
Nationella program,48304166,"74,5"
Nationella program,24982097,"100,0"
Nationella program,45552626,"99,0"
Nationella program,50906954,.
Nationella program,97104132,"100,0"
Nationella program,16748680,"100,0"
Nationella program,68597767,"100,0"
Nationella program,27964873,"91,7"
Nationella program,30706655,"92,5"
Nationella program,65674821,"100,0"
Nationella program,92332557,"95,2"
Nationella program,46332927,"100,0"
Nationella program,78690637,"88,7"
Nationella program,24653673,"95,2"
Nationella program,38048202,"96,5"
Nationella program,90990441,"87,5"
Nationella program,86319615,"100,0"
Nationella program,87303004,"100,0"
Nationella program,97835550,"95,5"
Nationella program,22446331,"100,0"
Nationella program,26671095,"98,0"
Nationella program,42911621,"89,6"
Nationella program,40575001,"94,7"
Nationella program,75027822,"87,5"
Nationella program,26508763,"94,8"
Nationella program,14504503,"69,2"
Nationella program,21850904,"100,0"
Nationella program,65320354,"99,2"
Nationella program,77544055,"98,9"
Nationella program,49112879,"92,0"
Nationella program,30279258,"99,1"
Nationella program,16198647,"98,6"
Nationella program,12496135,..
Nationella program,76903284,"90,9"
Nationella program,68649663,"94,6"
Nationella program,43623146,..
Nationella program,49141105,"92,3"
Nationella program,15870428,"91,5"
Nationella program,26646080,"97,1"
Nationella program,26750052,"97,6"
Nationella program,18974693,"99,3"
Nationella program,26996566,"100,0"
Nationella program,27704246,"96,0"
Nationella program,81997762,"86,9"
Nationella program,28967085,..
Nationella program,69747871,..
Nationella program,70119254,..
Nationella program,31151740,"95,2"
Nationella program,79346084,"95,9"
Nationella program,34222422,"93,3"
Nationella program,84230226,..
Nationella program,42060237,"50,0"
Nationella program,89816391,"98,4"
Nationella program,14448619,"95,6"
Nationella program,12546590,"96,9"
Nationella program,43565270,"92,5"
Nationella program,77176811,"98,7"
Nationella program,52791537,"100,0"
Nationella program,85152591,"100,0"
Nationella program,85819857,"100,0"
Nationella program,40600798,"97,0"
Nationella program,52942981,"100,0"
Nationella program,54117171,"99,0"
Nationella program,48120273,"100,0"
Nationella program,33233228,..
Nationella program,94167577,"85,1"
Nationella program,27023528,"90,4"
Nationella program,53903798,"78,5"
Nationella program,85782695,"100,0"
Nationella program,98815582,"96,0"
Nationella program,97770837,"91,5"
Nationella program,21312503,"100,0"
Nationella program,69650864,"100,0"
Nationella program,59581397,"100,0"
Nationella program,14926020,"78,9"
Nationella program,41938272,"100,0"
Nationella program,29423248,"97,0"
Nationella program,76054399,"95,5"
Nationella program,33132452,"91,0"
Nationella program,56942970,..
Nationella program,60142020,..
Nationella program,70811222,"100,0"
Nationella program,17911161,"91,0"
Nationella program,35084976,"98,0"
Nationella program,25525759,.
Nationella program,77632411,"98,8"
Nationella program,56653353,"100,0"
Nationella program,49068301,"94,6"
Nationella program,59898194,"98,0"
Nationella program,38195284,"97,7"
Nationella program,97510495,"97,8"
Nationella program,89461767,"97,3"
Nationella program,94717858,"97,2"
Nationella program,53760158,"100,0"
Nationella program,78422467,"95,3"
Nationella program,37802196,..
Nationella program,38683336,"100,0"
Nationella program,36288955,"99,2"
Nationella program,74812809,"98,9"
Nationella program,88839172,"100,0"
Nationella program,48412612,"98,6"
Nationella program,95618280,"93,4"
Nationella program,75075402,"96,5"
Nationella program,26326048,"95,0"
Nationella program,37839488,"95,1"
Nationella program,46256929,"88,8"
Nationella program,83374651,"100,0"
Nationella program,59796774,"100,0"
Nationella program,17675502,"94,7"
Nationella program,75600007,"98,6"
Nationella program,73812226,"90,5"
Nationella program,30762346,..
Nationella program,82964090,"98,8"
Nationella program,88955893,"99,2"
Nationella program,15278518,"93,1"
Nationella program,15390992,"98,4"
Nationella program,63943560,"93,6"
Nationella program,85516596,"88,8"
Nationella program,31998226,..
Nationella program,38236800,"83,3"
Nationella program,16784385,"96,3"
Nationella program,59026584,"94,2"
Nationella program,79829846,"97,6"
Nationella program,89963319,..
Nationella program,24339566,"97,6"
Nationella program,20061769,"100,0"
Nationella program,65458415,..
Nationella program,95154882,"92,9"
Nationella program,52333875,"97,2"
Nationella program,24663703,..
Nationella program,28519815,"88,7"
Nationella program,65666808,"78,0"
Nationella program,69543519,"96,3"
Nationella program,24397215,"86,4"
Nationella program,30677562,"93,8"
Nationella program,85054102,"100,0"
Nationella program,87274273,"87,5"
Nationella program,89693952,.
Nationella program,24759907,"82,2"
Nationella program,78433202,"86,4"
Nationella program,41631104,"75,0"
Nationella program,35366805,"89,3"
Nationella program,31315191,"100,0"
Nationella program,80357110,"91,3"
Nationella program,42775003,"98,7"
Nationella program,56670842,"96,7"
Nationella program,89370947,"97,5"
Nationella program,18451445,..
Nationella program,48555205,"94,5"
Nationella program,31313926,"98,3"
Nationella program,30312720,"98,8"
Nationella program,32116280,"96,7"
Nationella program,57143976,"99,1"
Nationella program,93367005,"92,6"
Nationella program,53175499,"100,0"
Nationella program,64388538,"100,0"
Nationella program,52153758,"100,0"
Nationella program,16501673,"97,4"
Nationella program,26298615,"65,2"
Nationella program,22116645,"98,1"
Nationella program,99755443,"97,9"
Nationella program,30167976,"100,0"
Nationella program,50104466,"95,0"
Nationella program,28004794,..
Nationella program,32071849,"99,0"
Nationella program,79845033,"88,4"
Nationella program,41099519,"90,7"
Nationella program,59386837,"77,0"
Nationella program,21627442,"100,0"
Nationella program,17276047,"84,9"
Nationella program,73217812,"76,3"
Nationella program,21382451,"97,7"
Nationella program,48244956,"98,2"
Nationella program,36769815,"96,3"
Nationella program,16931486,"71,4"
Nationella program,92489953,"92,6"
Nationella program,43873969,"98,7"
Nationella program,55825382,"96,1"
Nationella program,19306558,"96,0"
Nationella program,35301145,"97,5"
Nationella program,24993048,"96,0"
Nationella program,70132092,"72,9"
