skolkod,andel_med_utokat_prog
30167976,"41,9"
50104466,..
28004794,..
32071849,"21,9"
79845033,"29,1"
41099519,"21,3"
59386837,"31,1"
21627442,"45,5"
17276047,"39,6"
73217812,"26,3"
21382451,"17,4"
48244956,"34,5"
36769815,..
16931486,"47,6"
92489953,"59,3"
43873969,..
55825382,..
19306558,..
35301145,"22,5"
24993048,..
70132092,"52,5"
65034473,..
13084253,"14,7"
32321364,..
59942080,..
66273269,..
82888663,"18,6"
11275959,"23,5"
58518163,"35,0"
50615280,"77,8"
19035583,"50,0"
27993549,"24,7"
37912396,"43,2"
45593337,"40,8"
90312942,"38,1"
10226870,"55,0"
19839859,..
80280597,..
67628478,"100,0"
37517404,..
29159460,"60,0"
32057701,.
43601850,..
30615080,"34,5"
89630851,..
25178582,"59,4"
70543431,..
23476801,..
86351879,"69,0"
56041144,"20,8"
14586562,.
74322969,"30,4"
90260899,"16,9"
69302313,"56,5"
31057219,"29,7"
27079521,"30,6"
33572033,"33,3"
64579522,"40,3"
65234368,"88,9"
34381901,"47,5"
55150847,..
90076461,..
96414537,"74,2"
53069733,"57,1"
99394620,"61,7"
95368476,"42,0"
14853321,"33,3"
76448076,"25,6"
31537066,"56,7"
86488203,"25,2"
25156286,"45,7"
28081446,"18,5"
21400668,..
92949043,"27,3"
92818240,"32,5"
84329061,"27,2"
71969230,"57,1"
91048178,"18,6"
82718660,..
76942525,..
12399380,.
31486865,"12,8"
97265732,"13,2"
10373112,..
61720981,"6,6"
25698509,"50,0"
50424828,"22,5"
82931004,..
83584125,..
95024660,..
32263814,..
16496466,..
12075195,..
62300682,..
47393891,..
48414975,..
65265211,..
11533776,"44,0"
47108751,..
97191332,"41,4"
71938440,..
28829503,"46,7"
22811839,"26,2"
33205596,..
99622695,..
19930101,"22,8"
60727136,..
45132264,..
61647360,..
98651664,"29,9"
33657492,"43,1"
61622991,"31,9"
66644568,..
93659517,"31,6"
79309485,..
61175914,..
73316818,"71,9"
37078868,..
27859889,..
16130958,..
29161632,..
82195565,.
33596572,..
45541222,..
77713695,"97,5"
63451147,..
51131594,.
89680395,..
53696633,..
27440210,"31,3"
62758285,..
16218090,..
61197669,..
64667996,..
17812651,"81,0"
23544320,"35,5"
57668673,..
69040241,"57,9"
63993414,..
49136871,..
91905819,..
20855811,"9,9"
54882637,"81,3"
53923398,"24,4"
74560191,..
47844862,"60,8"
22239675,"85,7"
72984079,"44,9"
36480690,"27,6"
24787883,"47,6"
32995170,"58,3"
52048443,"52,2"
61674097,..
32550660,"14,7"
93488613,..
45600034,..
59599256,"20,9"
69865450,"30,0"
31112935,..
26957025,"31,2"
90509211,"12,0"
43277545,"33,9"
37316242,"20,7"
20173336,"42,4"
49872493,"75,9"
39147056,"52,8"
11953769,..
28646435,"52,0"
50393060,"23,5"
85788659,..
95340745,..
59521477,"36,6"
92442684,"65,0"
66095163,..
38544187,"51,1"
54599691,"30,5"
54004368,"41,4"
54467211,"75,6"
23517683,"78,9"
31975673,"19,2"
82251333,"60,0"
99864908,"20,8"
27106031,"28,2"
59463950,"83,3"
63931325,"26,3"
57391913,"42,7"
75374280,"51,1"
46148350,"48,5"
50133877,"46,8"
49868916,"40,3"
74919147,..
90240730,"24,7"
84908877,"38,7"
78389879,..
24277564,..
88956420,..
44412461,"11,2"
34002355,..
36355200,"36,5"
96920524,"55,1"
18217765,"44,7"
60919765,..
14677676,"36,4"
96152872,"21,7"
77835341,..
70803636,"21,2"
49576295,"39,0"
66028861,"87,5"
23797825,..
45293715,"47,0"
44738639,"68,8"
77712952,..
92009807,..
10433896,"34,2"
10342448,..
43154449,..
49170638,"39,5"
46379730,"33,3"
25379974,.
98032567,..
96194948,"55,6"
25955541,"54,2"
88025221,"17,8"
18042101,"28,2"
14799321,"34,5"
56041699,"64,7"
45111086,..
70955448,"95,3"
68824244,"39,8"
90685868,..
24501884,"46,5"
46707989,..
46986216,"34,8"
67924816,..
92805465,..
56084099,"36,8"
80711021,"44,1"
17648596,"27,3"
16720048,"18,2"
13960635,"54,4"
39341381,..
61176909,"22,8"
43479922,..
60088179,"23,0"
28391147,"20,7"
29209307,..
21778322,"22,8"
31380193,..
90290154,"86,7"
25847233,"36,6"
62612992,"27,7"
85485803,"18,3"
92816527,"38,4"
16848652,"52,4"
88429477,"22,9"
