skolkod,andel_minst_e_sva1
85819857,..
40600798,"100,0"
52942981,..
54117171,..
48120273,..
33233228,.
94167577,"100,0"
27023528,..
53903798,"90,9"
97770837,.
69650864,.
59581397,..
41938272,..
29423248,.
76054399,..
33132452,..
60142020,..
70811222,.
17911161,"100,0"
35084976,"100,0"
25525759,.
77632411,"100,0"
49068301,..
59898194,..
38195284,"100,0"
97510495,"100,0"
89461767,..
94717858,..
53760158,.
78422467,..
37802196,.
36288955,..
74812809,.
88839172,..
48412612,"100,0"
95618280,..
75075402,..
26326048,.
37839488,"91,7"
46256929,..
83374651,.
59796774,..
17675502,..
75600007,..
73812226,..
30762346,.
82964090,..
88955893,..
15278518,.
15390992,..
63943560,"95,2"
85516596,"100,0"
16784385,.
89963319,.
24339566,.
65458415,.
95154882,..
52333875,"100,0"
24663703,.
28519815,"100,0"
65666808,.
69543519,"100,0"
89693952,.
24759907,"91,7"
78433202,"100,0"
35366805,..
31315191,..
42775003,.
56670842,.
89370947,.
48555205,"100,0"
31313926,..
30312720,"100,0"
32116280,..
57143976,..
93367005,..
53175499,.
64388538,.
52153758,.
22116645,..
99755443,..
30167976,..
50104466,.
28004794,.
32071849,.
79845033,..
41099519,..
59386837,..
17276047,..
21382451,..
48244956,.
36769815,.
43873969,..
55825382,..
19306558,.
35301145,..
24993048,..
13084253,..
59942080,..
66273269,.
11275959,..
58518163,.
27993549,.
37912396,..
45593337,..
10226870,..
19839859,..
67628478,..
37517404,..
32057701,..
30615080,"100,0"
25178582,"100,0"
70543431,.
23476801,..
86351879,..
56041144,..
74322969,..
90260899,.
31057219,..
27079521,..
33572033,.
64579522,..
34381901,..
55150847,..
90076461,.
53069733,..
99394620,..
95368476,..
14853321,.
76448076,..
31537066,.
86488203,"100,0"
25156286,.
28081446,..
21400668,.
92949043,..
92818240,..
84329061,"100,0"
91048178,..
82718660,.
12399380,.
31486865,..
97265732,..
61720981,..
50424828,.
82931004,.
95024660,..
32263814,..
47393891,..
48414975,.
11533776,..
47108751,.
28829503,..
99622695,.
98651664,..
33657492,..
79309485,.
37078868,..
16130958,..
82195565,..
33596572,..
77713695,..
51131594,..
89680395,.
53696633,.
27440210,.
62758285,..
16218090,..
64667996,..
23544320,..
57668673,.
69040241,..
63993414,.
49136871,.
20855811,"100,0"
53923398,"100,0"
74560191,.
47844862,..
72984079,"100,0"
36480690,..
24787883,..
32995170,..
52048443,..
61674097,..
32550660,..
93488613,..
45600034,..
59599256,..
26957025,"100,0"
90509211,..
43277545,..
11953769,..
50393060,..
85788659,..
95340745,..
59521477,..
92442684,.
66095163,..
54599691,..
54004368,..
31975673,..
82251333,..
99864908,..
27106031,..
59463950,..
63931325,..
57391913,..
75374280,..
46148350,..
50133877,..
49868916,.
74919147,.
78389879,..
24277564,..
44412461,..
36355200,..
96920524,..
18217765,..
70803636,..
49576295,..
66028861,..
23797825,..
45293715,..
77712952,..
10433896,.
43154449,..
49170638,..
46379730,.
25379974,..
88025221,"100,0"
18042101,.
56041699,..
45111086,.
70955448,.
68824244,..
46707989,..
46986216,..
67924816,..
92805465,..
56084099,..
16720048,..
13960635,.
61176909,..
43479922,.
28391147,..
21778322,..
31380193,..
62612992,..
85485803,..
16848652,..
88429477,..
94975733,..
56802300,..
15149235,..
13981977,.
24538846,.
67058407,..
15791044,..
65392939,..
98696836,.
64908550,..
77358716,.
49739986,.
29225010,.
92192566,"100,0"
56886667,"100,0"
64648566,..
65421426,"100,0"
62394916,..
67908927,..
72071234,..
24349146,..
83605345,.
15933512,..
64693272,.
18072172,.
65833454,.
11341077,.
34988313,..
28045567,..
20768651,.
38880984,..
28872974,..
18686599,.
93779220,.
77797484,..
80785976,..
47559319,.
21532545,..
56187883,.
20752831,..
51023367,..
34739511,.
52690153,..
93221031,.
17474377,.
18345915,.
68229719,..
61004230,.
71262305,..
55795961,..
84947634,..
97870412,..
68564903,..
82840198,..
18208087,..
89982804,.
19464342,.
60743463,..
32960825,..
43609520,.
41416934,..
21567982,.
49379603,.
80167319,.
73171934,.
83474173,..
91487291,.
21866405,..
74434644,"100,0"
42022406,..
88445871,..
18425335,..
93281974,..
23424275,..
19150273,.
25624692,..
88534520,..
16554575,..
25356960,..
64284020,..
98132436,..
60096875,..
26334561,..
40386043,..
29324709,.
26864271,..
59483268,..
33685428,.
88573795,..
82814120,.
10924758,..
34153869,..
88259298,.
73098153,..
44240250,.
17846181,..
75082798,..
23555409,.
91333138,.
30341162,.
39936461,.
72266906,..
27030026,..
12154972,..
16950252,..
34637764,"100,0"
73255276,..
15077883,..
48434184,..
58724424,.
51138448,..
19647256,..
56421429,..
39911065,..
17008320,..
56737496,.
88850910,..
93939982,..
