skolkod,andel_minst_e_eng5
53069733,"100,0"
99394620,"100,0"
95368476,"100,0"
14853321,"98,0"
76448076,"100,0"
31537066,"96,7"
86488203,"99,3"
25156286,"100,0"
28081446,"100,0"
21400668,"100,0"
92949043,"100,0"
92818240,"96,7"
84329061,"100,0"
71969230,"100,0"
91048178,"95,3"
82718660,"100,0"
76942525,"100,0"
12399380,"100,0"
31486865,"100,0"
97265732,"100,0"
10373112,..
61720981,"99,3"
25698509,"94,7"
50424828,"97,1"
82931004,"100,0"
83584125,"100,0"
95024660,"100,0"
32263814,"100,0"
16496466,..
12075195,"100,0"
62300682,"100,0"
47393891,"100,0"
48414975,"100,0"
65265211,"96,6"
11533776,"100,0"
47108751,..
97191332,"100,0"
71938440,"92,9"
28829503,"100,0"
22811839,"100,0"
33205596,"100,0"
99622695,..
19930101,"100,0"
60727136,"100,0"
45132264,"100,0"
61647360,..
98651664,"100,0"
33657492,"96,7"
61622991,"100,0"
66644568,"100,0"
93659517,"98,2"
79309485,"100,0"
61175914,"100,0"
73316818,"100,0"
37078868,..
27859889,"100,0"
16130958,"100,0"
29161632,..
82195565,"100,0"
33596572,"100,0"
45541222,"100,0"
77713695,"100,0"
63451147,"100,0"
51131594,"100,0"
89680395,"100,0"
53696633,"100,0"
27440210,"100,0"
62758285,"100,0"
16218090,"100,0"
61197669,..
64667996,"100,0"
17812651,"100,0"
23544320,"100,0"
57668673,"100,0"
69040241,"100,0"
63993414,"100,0"
49136871,..
91905819,"96,7"
20855811,"100,0"
54882637,"87,5"
53923398,"95,9"
74560191,"100,0"
47844862,"100,0"
22239675,"100,0"
72984079,"100,0"
36480690,"100,0"
24787883,"100,0"
32995170,"94,4"
52048443,"100,0"
61674097,"100,0"
32550660,"100,0"
93488613,"100,0"
45600034,"100,0"
59599256,"100,0"
69865450,"96,0"
31112935,"90,0"
26957025,"100,0"
90509211,"99,0"
43277545,"98,2"
37316242,"97,7"
20173336,"93,9"
49872493,"100,0"
39147056,"94,3"
11953769,"91,7"
28646435,"100,0"
50393060,"100,0"
85788659,"97,8"
95340745,"100,0"
59521477,"100,0"
92442684,"100,0"
66095163,"100,0"
38544187,"89,4"
54599691,"99,3"
54004368,"100,0"
54467211,"100,0"
23517683,"100,0"
31975673,"100,0"
82251333,"98,6"
99864908,"98,1"
27106031,"100,0"
59463950,"100,0"
63931325,"100,0"
57391913,"97,3"
75374280,"95,7"
46148350,"98,5"
50133877,"100,0"
49868916,"99,3"
74919147,"100,0"
90240730,"92,2"
84908877,"96,8"
78389879,"100,0"
24277564,"100,0"
88956420,..
44412461,"100,0"
