skolkod,andel_minst_e_idr1
25156286,"94,3"
28081446,"95,7"
21400668,"92,9"
92949043,"100,0"
92818240,"91,9"
84329061,"98,5"
71969230,"95,2"
91048178,"97,7"
82718660,..
76942525,"96,2"
12399380,"100,0"
31486865,"98,8"
97265732,"100,0"
10373112,..
61720981,"97,2"
25698509,"97,4"
50424828,"93,1"
82931004,"100,0"
83584125,"100,0"
95024660,"98,6"
32263814,"100,0"
16496466,"100,0"
12075195,"100,0"
62300682,"94,7"
47393891,"97,3"
48414975,"100,0"
65265211,"89,7"
11533776,"93,3"
47108751,..
97191332,"96,6"
71938440,"100,0"
28829503,"95,6"
22811839,"85,2"
33205596,"100,0"
99622695,..
19930101,"91,2"
60727136,"93,3"
45132264,"75,0"
61647360,..
98651664,"100,0"
33657492,"94,8"
61622991,"100,0"
66644568,"97,2"
93659517,"100,0"
79309485,"100,0"
61175914,"94,1"
73316818,"100,0"
37078868,..
27859889,"92,3"
16130958,"100,0"
29161632,..
82195565,"100,0"
33596572,"100,0"
45541222,"100,0"
77713695,"100,0"
63451147,"83,3"
51131594,"85,7"
89680395,"100,0"
53696633,"100,0"
27440210,"100,0"
62758285,"100,0"
16218090,"100,0"
61197669,..
64667996,"100,0"
17812651,"100,0"
23544320,"99,4"
57668673,"97,7"
69040241,"94,7"
63993414,"100,0"
49136871,..
91905819,"83,3"
20855811,"96,4"
54882637,"100,0"
53923398,"92,7"
74560191,"100,0"
47844862,"98,8"
22239675,"95,2"
72984079,"100,0"
36480690,"96,1"
24787883,"90,5"
32995170,"100,0"
52048443,"91,3"
61674097,"100,0"
32550660,"98,9"
93488613,"100,0"
45600034,"90,9"
59599256,"98,0"
69865450,"92,0"
31112935,"86,7"
26957025,"100,0"
90509211,"90,0"
43277545,"89,3"
37316242,"97,7"
20173336,"93,9"
49872493,"100,0"
39147056,"86,8"
11953769,"91,7"
28646435,"84,0"
50393060,"95,3"
85788659,"68,9"
95340745,"100,0"
59521477,"97,2"
92442684,"93,3"
66095163,"82,4"
38544187,"93,6"
54599691,"97,4"
54004368,"100,0"
54467211,"96,7"
23517683,"100,0"
