program,skolkod,andel_med_gr_behorighet
Nationella program,72022487,"55,6"
Nationella program,71512894,"91,9"
Nationella program,70969556,..
Nationella program,28248021,"62,3"
Nationella program,44417214,"72,3"
Nationella program,25025681,"76,5"
Nationella program,88776535,"89,3"
Nationella program,49488344,"75,6"
Nationella program,74408578,"67,5"
Nationella program,71043974,"90,7"
Nationella program,57777751,..
Nationella program,38732602,"91,7"
Nationella program,89807183,"93,9"
Nationella program,86724994,"28,9"
Nationella program,61161774,"93,4"
Nationella program,86158933,"70,7"
Nationella program,14102256,"71,3"
Nationella program,75082280,..
Nationella program,75914181,"82,3"
Nationella program,39302565,"23,3"
Nationella program,96818167,"94,1"
Nationella program,36072799,..
Nationella program,61432781,..
Nationella program,78287294,..
Nationella program,74316305,..
Nationella program,39096170,..
Nationella program,79527481,"89,6"
Nationella program,67300857,"90,9"
Nationella program,99279503,"75,7"
Nationella program,63653488,..
Nationella program,84476205,"95,6"
Nationella program,24544503,"90,4"
Nationella program,25392789,"96,5"
Nationella program,72109637,.
Nationella program,69240218,"89,5"
Nationella program,14057258,..
Nationella program,38460895,"66,7"
Nationella program,31199511,"91,1"
Nationella program,12934438,"96,5"
Nationella program,43313366,"78,2"
Nationella program,86787111,"94,3"
Nationella program,97868185,"100,0"
Nationella program,81551726,..
Nationella program,77823650,"63,2"
Nationella program,37550979,"75,0"
Nationella program,52634142,"28,0"
Nationella program,76195214,..
Nationella program,54839753,..
Nationella program,32705515,"29,1"
Nationella program,60214465,"54,1"
Nationella program,70137084,"36,4"
Nationella program,82002016,"79,1"
Nationella program,21901328,..
Nationella program,23306658,"59,7"
Nationella program,57350392,..
Nationella program,97535124,"100,0"
Nationella program,11102578,"93,1"
Nationella program,69306209,"57,0"
Nationella program,92651253,..
Nationella program,31740319,"67,6"
Nationella program,10129345,"98,9"
Nationella program,17944628,"87,7"
Nationella program,82826083,"56,3"
Nationella program,94468610,"91,9"
Nationella program,94090461,"87,6"
Nationella program,12954099,"83,3"
Nationella program,80931789,"85,8"
Nationella program,84098842,"65,5"
Nationella program,90473340,"74,2"
Nationella program,26167236,"26,8"
Nationella program,69807202,"85,1"
Nationella program,64648904,"86,3"
Nationella program,75939593,"94,2"
Nationella program,63035915,"25,2"
Nationella program,26324896,"73,9"
Nationella program,56639389,"98,5"
Nationella program,95700485,"95,2"
Nationella program,51449748,"90,1"
Nationella program,28267726,"94,0"
Nationella program,28848709,..
Nationella program,12613085,"66,0"
Nationella program,53896162,"93,7"
Nationella program,17779637,"85,1"
Nationella program,11185244,"31,4"
Nationella program,56211717,"50,0"
Nationella program,66824652,"80,9"
Nationella program,49168016,"62,1"
Nationella program,32042066,"48,1"
Nationella program,50821167,..
Nationella program,71929526,"93,5"
Nationella program,92814975,"30,0"
Nationella program,60873719,"96,3"
Nationella program,28085125,"87,5"
Nationella program,28770304,..
Nationella program,21938183,"94,2"
Nationella program,78986228,.
Nationella program,71472793,"93,5"
Nationella program,64123241,..
Nationella program,69063711,"81,4"
