skolkod,andel_med_studiebevis
54004368,..
54467211,..
23517683,..
31975673,"4,9"
82251333,..
99864908,..
27106031,..
59463950,.
63931325,.
57391913,..
75374280,..
46148350,..
50133877,..
49868916,"7,9"
74919147,..
90240730,"15,6"
84908877,..
78389879,..
24277564,"28,6"
88956420,.
44412461,"2,7"
34002355,"28,2"
36355200,"14,1"
96920524,..
18217765,..
60919765,.
14677676,..
96152872,..
77835341,..
70803636,..
49576295,.
66028861,.
23797825,"24,3"
45293715,"21,2"
44738639,..
77712952,"19,4"
92009807,"21,8"
10433896,..
10342448,"32,6"
43154449,.
49170638,..
46379730,..
25379974,..
98032567,.
96194948,..
25955541,.
88025221,"9,5"
18042101,..
14799321,..
56041699,..
45111086,.
70955448,..
68824244,..
90685868,..
24501884,..
46707989,..
46986216,..
67924816,..
92805465,"12,6"
56084099,..
80711021,"11,8"
17648596,..
16720048,..
13960635,..
39341381,..
61176909,.
43479922,..
60088179,"21,3"
28391147,"17,0"
29209307,..
21778322,..
31380193,..
90290154,..
25847233,"18,3"
62612992,"14,3"
85485803,"14,1"
92816527,..
16848652,.
88429477,..
94975733,..
56802300,.
15149235,..
77379848,..
13981977,.
24538846,..
36886750,..
67422309,..
67058407,"15,7"
34421265,..
15791044,..
65392939,..
98696836,..
82160887,..
23175129,..
64908550,..
77358716,..
49739986,..
29225010,..
92192566,"21,8"
56886667,"3,9"
33249781,"19,2"
64648566,..
18691102,..
70302356,..
65421426,"8,7"
62394916,.
67908927,..
72071234,..
24349146,"6,4"
83605345,..
15933512,"3,5"
12198363,.
47692481,..
64693272,..
18072172,.
65833454,..
85188855,..
11341077,..
39528347,..
34988313,..
85473846,..
29744774,.
89690587,..
28045567,..
20768651,..
32239920,..
98781765,..
38880984,"10,4"
28872974,"21,6"
87112995,..
18686599,..
93779220,"11,4"
77797484,..
53279140,..
80785976,..
47559319,..
21532545,..
56187883,"23,5"
20752831,"20,5"
51023367,..
34739511,.
95069937,.
52690153,.
74776778,..
18345915,..
68229719,..
61004230,..
71262305,..
55795961,.
84947634,.
23517336,.
48009865,"10,4"
82840198,.
18208087,..
89982804,.
19464342,.
60743463,.
32960825,..
43609520,..
97968599,..
91748148,"11,5"
42218661,..
74434644,"12,5"
42022406,..
65192707,..
43634528,..
36263479,..
56679384,..
30538202,..
19150273,..
69018222,"22,4"
12889940,..
16554575,.
34076477,"11,4"
54896448,.
64284020,.
53400472,..
97758137,"28,3"
26334561,"10,1"
40386043,"14,2"
59483268,..
33685428,..
32879845,.
88573795,.
20699742,..
21663998,"11,0"
20595770,"9,5"
82814120,.
45164827,..
10924758,..
34153869,..
88259298,..
17846181,..
75082798,"10,3"
23555409,..
30341162,..
72266906,"15,1"
27030026,..
16950252,..
34637764,..
19912478,..
15077883,..
48434184,..
58724424,..
95684185,..
51138448,..
56421429,.
39911065,..
17008320,..
56737496,..
93939982,..
25720752,..
55155562,"16,3"
31533003,..
16361868,..
23164911,..
24008049,..
19981611,..
54481243,.
36680097,..
19586169,..
24273261,.
95683850,..
59455288,..
25679488,..
25677996,..
89888648,..
35063170,..
31279294,..
36782335,..
23897040,.
20666515,.
37906565,.
67279303,..
21648755,"15,2"
11111710,..
90551279,"10,8"
69686851,..
49616977,..
54965510,"7,3"
84835666,"21,8"
25872338,.
54164490,..
20319353,"26,5"
92194545,..
64740897,.
78979604,..
10974852,.
85068812,..
78397312,..
36444853,"17,1"
16819383,..
89837629,"15,5"
12994441,"20,4"
88774402,..
75141151,"35,4"
61701709,..
61469192,..
84306392,..
28627819,"10,7"
30086854,.
26627862,..
48847282,"13,3"
72517762,"76,9"
79094701,.
38684438,"13,6"
31251822,"14,3"
90099336,.
35647481,"14,9"
39549479,"19,0"
73147554,.
69983740,.
66491596,.
12052268,"21,1"
71597051,.
53231578,..
96279444,..
40690520,.
91011325,..
97382366,"12,8"
35006050,"15,2"
10638939,"63,6"
21505555,..
34336190,.
21052710,..
69739484,"22,5"
92887917,..
88834120,..
70066748,"14,1"
19207279,..
53640774,..
58502307,.
97177328,"31,3"
72127035,..
70969714,..
68734112,..
71922787,..
74148070,..
92507006,..
44653962,.
20100577,"12,8"
81993306,..
19051089,..
47264019,..
50198492,"9,1"
98052678,..
20099064,..
16313848,"22,5"
79606767,"27,9"
11294673,.
86327236,.
41745951,.
83137205,..
28398531,..
66335258,..
54172830,..
75458014,..
65136104,..
61826221,.
79033948,..
56330385,..
20228162,.
68240485,.
95046058,..
44392995,..
53462953,"8,7"
60730660,.
82592568,"13,3"
78875918,"9,8"
86385479,..
49862313,"23,8"
