program,skolkod,antal_elever
nationella program,35035671,17
nationella program,12130801,41
nationella program,51736304,32
nationella program,53180719,74
nationella program,27489137,27
nationella program,15609112,20
nationella program,44285075,35
nationella program,60424371,34
nationella program,95785055,167
nationella program,68655578,125
nationella program,17062663,55
nationella program,68741484,134
nationella program,56267421,18
nationella program,34990065,56
nationella program,37054246,72
nationella program,39199869,63
nationella program,62216381,49
nationella program,31179045,72
nationella program,72421673,59
nationella program,15763669,..
nationella program,59655752,52
nationella program,88750078,49
nationella program,41878314,..
nationella program,41555549,95
nationella program,32003298,24
nationella program,22383788,23
nationella program,85459854,103
nationella program,81876614,58
nationella program,18711877,52
nationella program,67071618,67
nationella program,75324351,35
nationella program,61229217,72
nationella program,58929357,24
nationella program,42517257,32
nationella program,70376604,66
nationella program,59575030,84
nationella program,93503103,44
nationella program,18617410,74
nationella program,41697930,84
nationella program,28025244,45
nationella program,17184072,11
nationella program,40338843,83
nationella program,77440824,79
nationella program,71069359,17
nationella program,86896907,31
nationella program,14292382,110
nationella program,51981332,22
nationella program,87859089,59
nationella program,54764253,47
nationella program,98908403,156
nationella program,16493131,216
nationella program,41119610,57
nationella program,83272868,81
nationella program,11526364,53
nationella program,48304166,47
nationella program,24982097,18
nationella program,45552626,97
nationella program,50906954,39
nationella program,97104132,12
nationella program,16748680,58
nationella program,68597767,10
nationella program,27964873,36
nationella program,30706655,40
nationella program,65674821,58
nationella program,92332557,83
nationella program,46332927,37
nationella program,78690637,309
nationella program,24653673,21
nationella program,38048202,258
nationella program,90990441,16
nationella program,86319615,16
nationella program,87303004,37
nationella program,97835550,22
nationella program,22446331,37
nationella program,26671095,60
nationella program,42911621,96
nationella program,40575001,57
nationella program,75027822,32
nationella program,26508763,77
nationella program,14504503,26
nationella program,21850904,48
nationella program,65320354,124
nationella program,77544055,90
nationella program,49112879,50
nationella program,30279258,107
nationella program,16198647,72
nationella program,12496135,10
nationella program,76903284,154
nationella program,68649663,37
nationella program,43623146,..
nationella program,49141105,52
nationella program,15870428,59
nationella program,26646080,137
nationella program,26750052,125
nationella program,18974693,134
nationella program,26996566,10
nationella program,27704246,176
nationella program,81997762,61
nationella program,28967085,..
nationella program,69747871,..
nationella program,70119254,12
nationella program,31151740,21
nationella program,79346084,196
nationella program,34222422,15
nationella program,84230226,..
nationella program,42060237,44
nationella program,89816391,62
nationella program,14448619,114
nationella program,12546590,64
nationella program,43565270,106
nationella program,77176811,77
nationella program,52791537,127
nationella program,85152591,102
nationella program,85819857,126
nationella program,40600798,133
nationella program,52942981,85
nationella program,54117171,104
nationella program,48120273,75
nationella program,33233228,..
nationella program,94167577,161
nationella program,27023528,94
nationella program,53903798,79
nationella program,85782695,13
nationella program,98815582,75
nationella program,97770837,117
nationella program,21312503,39
nationella program,69650864,91
nationella program,59581397,24
nationella program,14926020,19
nationella program,41938272,105
nationella program,29423248,100
nationella program,76054399,66
nationella program,33132452,122
nationella program,56942970,..
nationella program,60142020,..
nationella program,70811222,10
nationella program,17911161,166
nationella program,35084976,50
nationella program,25525759,68
nationella program,77632411,202
nationella program,56653353,48
nationella program,49068301,56
nationella program,59898194,51
nationella program,38195284,129
nationella program,97510495,138
nationella program,89461767,75
nationella program,94717858,109
nationella program,53760158,43
nationella program,78422467,148
nationella program,37802196,..
nationella program,38683336,10
nationella program,36288955,124
nationella program,74812809,93
nationella program,88839172,152
nationella program,48412612,70
nationella program,95618280,106
nationella program,75075402,114
nationella program,26326048,120
nationella program,37839488,164
nationella program,46256929,89
nationella program,83374651,24
nationella program,59796774,12
nationella program,17675502,38
nationella program,75600007,70
nationella program,73812226,105
nationella program,30762346,..
nationella program,82964090,171
nationella program,88955893,127
nationella program,15278518,72
nationella program,15390992,258
nationella program,63943560,47
nationella program,85516596,107
nationella program,31998226,..
nationella program,38236800,48
nationella program,16784385,80
nationella program,59026584,171
nationella program,79829846,42
nationella program,89963319,..
nationella program,24339566,167
nationella program,20061769,12
nationella program,65458415,..
nationella program,95154882,14
nationella program,52333875,108
nationella program,24663703,..
nationella program,28519815,106
nationella program,65666808,91
nationella program,69543519,27
nationella program,24397215,44
nationella program,30677562,80
nationella program,85054102,21
nationella program,87274273,16
nationella program,89693952,42
nationella program,24759907,225
nationella program,78433202,59
nationella program,41631104,16
nationella program,35366805,56
nationella program,31315191,96
nationella program,80357110,23
nationella program,42775003,152
nationella program,56670842,60
nationella program,89370947,118
nationella program,18451445,..
nationella program,48555205,237
nationella program,31313926,58
nationella program,30312720,81
nationella program,32116280,90
nationella program,57143976,107
nationella program,93367005,94
nationella program,53175499,23
nationella program,64388538,180
nationella program,52153758,180
nationella program,16501673,38
nationella program,26298615,46
nationella program,22116645,105
nationella program,99755443,236
nationella program,30167976,43
nationella program,50104466,20
nationella program,28004794,..
nationella program,32071849,105
nationella program,79845033,86
nationella program,41099519,75
nationella program,59386837,74
nationella program,21627442,55
nationella program,17276047,53
nationella program,73217812,38
nationella program,21382451,86
nationella program,48244956,55
nationella program,36769815,27
nationella program,16931486,21
nationella program,92489953,27
nationella program,43873969,154
nationella program,55825382,76
nationella program,19306558,25
nationella program,35301145,80
nationella program,24993048,25
nationella program,70132092,59
nationella program,65034473,..
nationella program,13084253,102
nationella program,32321364,11
nationella program,59942080,40
nationella program,66273269,40
nationella program,82888663,59
nationella program,11275959,85
nationella program,58518163,40
nationella program,50615280,18
nationella program,19035583,38
nationella program,27993549,89
nationella program,37912396,44
nationella program,45593337,76
nationella program,90312942,84
nationella program,10226870,20
nationella program,19839859,26
nationella program,80280597,..
nationella program,67628478,69
nationella program,37517404,17
nationella program,29159460,50
nationella program,32057701,47
nationella program,43601850,33
nationella program,30615080,124
nationella program,89630851,43
nationella program,25178582,69
nationella program,70543431,15
nationella program,23476801,..
nationella program,86351879,87
nationella program,56041144,53
nationella program,14586562,..
nationella program,74322969,56
nationella program,90260899,71
nationella program,69302313,23
nationella program,31057219,111
nationella program,27079521,98
nationella program,33572033,48
nationella program,64579522,62
nationella program,65234368,63
nationella program,34381901,101
nationella program,55150847,100
nationella program,90076461,98
nationella program,96414537,31
nationella program,53069733,49
nationella program,99394620,47
nationella program,95368476,88
nationella program,14853321,51
nationella program,76448076,82
nationella program,31537066,30
nationella program,86488203,139
nationella program,25156286,35
nationella program,28081446,92
nationella program,21400668,42
nationella program,92949043,77
nationella program,92818240,123
nationella program,84329061,202
nationella program,71969230,21
nationella program,91048178,86
nationella program,82718660,10
nationella program,76942525,26
nationella program,12399380,16
nationella program,31486865,344
nationella program,97265732,258
nationella program,10373112,..
nationella program,61720981,287
nationella program,25698509,38
nationella program,50424828,102
nationella program,82931004,28
nationella program,83584125,17
nationella program,95024660,72
nationella program,32263814,19
nationella program,16496466,10
nationella program,12075195,16
nationella program,62300682,19
nationella program,47393891,75
nationella program,48414975,17
nationella program,65265211,29
nationella program,11533776,75
nationella program,47108751,..
nationella program,97191332,29
nationella program,71938440,14
nationella program,28829503,90
nationella program,22811839,61
nationella program,33205596,17
nationella program,99622695,..
nationella program,19930101,57
nationella program,60727136,15
nationella program,45132264,24
nationella program,61647360,..
nationella program,98651664,77
nationella program,33657492,153
nationella program,61622991,72
nationella program,66644568,36
nationella program,93659517,57
nationella program,79309485,90
nationella program,61175914,17
nationella program,73316818,32
nationella program,37078868,..
nationella program,27859889,13
nationella program,16130958,70
nationella program,29161632,..
nationella program,82195565,82
nationella program,33596572,74
nationella program,45541222,11
nationella program,77713695,81
nationella program,63451147,12
nationella program,51131594,21
nationella program,89680395,14
nationella program,53696633,15
nationella program,27440210,48
nationella program,62758285,23
nationella program,16218090,27
nationella program,61197669,..
nationella program,64667996,36
nationella program,17812651,21
nationella program,23544320,172
nationella program,57668673,44
nationella program,69040241,19
nationella program,63993414,10
nationella program,49136871,..
nationella program,91905819,30
nationella program,20855811,111
nationella program,54882637,16
nationella program,53923398,193
nationella program,74560191,15
nationella program,47844862,255
nationella program,22239675,21
nationella program,72984079,127
nationella program,36480690,76
nationella program,24787883,21
nationella program,32995170,36
nationella program,52048443,69
