program,skolkod,gbp
Nationella program,20984584,"11,8"
Nationella program,52129378,"12,9"
Nationella program,65381163,"13,1"
Nationella program,98541468,"10,9"
Nationella program,31155312,"11,5"
Nationella program,25648215,"12,1"
Nationella program,61823258,"13,8"
Nationella program,84424083,"17,6"
Nationella program,39178171,"13,8"
Nationella program,49231191,"13,7"
Nationella program,78231062,"16,6"
Nationella program,79994304,..
Nationella program,10481541,"14,1"
Nationella program,68006362,"13,1"
Nationella program,11608031,"13,0"
Nationella program,86762103,"12,3"
Nationella program,68381790,"14,4"
Nationella program,13006857,"14,6"
Nationella program,76007769,"12,8"
Nationella program,16956086,"14,3"
Nationella program,58187973,"15,4"
Nationella program,88894245,"13,8"
Nationella program,31870541,"14,1"
Nationella program,71160225,"12,6"
Nationella program,67752682,"13,5"
Nationella program,47884009,"13,4"
Nationella program,44672598,"14,3"
Nationella program,75340089,"13,6"
Nationella program,36670439,"12,5"
Nationella program,22220001,"12,7"
Nationella program,31822012,"13,5"
Nationella program,83161201,"14,9"
Nationella program,15100079,..
Nationella program,55421481,..
Nationella program,99356671,"12,1"
Nationella program,16702464,"13,5"
Nationella program,71353314,..
Nationella program,29449669,"14,1"
Nationella program,62855448,"12,9"
Nationella program,36252055,"15,6"
Nationella program,91812793,"15,2"
Nationella program,14355031,"15,1"
Nationella program,72891848,"11,8"
Nationella program,46611859,"16,0"
Nationella program,58907711,"16,0"
Nationella program,68285560,"14,6"
Nationella program,58544422,"14,3"
Nationella program,65150019,"15,8"
Nationella program,31796890,..
Nationella program,22426680,"12,8"
Nationella program,83805032,"12,1"
Nationella program,48862305,"12,4"
Nationella program,32887559,"13,0"
Nationella program,71541108,"14,4"
Nationella program,53832505,"12,6"
Nationella program,47537928,"14,3"
Nationella program,69471748,"12,9"
Nationella program,49750031,"15,0"
Nationella program,76485705,"15,2"
Nationella program,93239262,"14,1"
Nationella program,25745773,"15,0"
Nationella program,99976753,"13,7"
Nationella program,14278480,"13,2"
Nationella program,75575321,"15,8"
Nationella program,28023078,"13,4"
Nationella program,43284031,"13,1"
Nationella program,13963517,"14,7"
Nationella program,24194577,..
Nationella program,26267406,"14,1"
Nationella program,31255918,"14,3"
Nationella program,51955293,"14,8"
Nationella program,57690933,"14,3"
Nationella program,35035671,"13,3"
Nationella program,12130801,"14,7"
Nationella program,51736304,"14,9"
Nationella program,53180719,"13,0"
Nationella program,27489137,"14,3"
Nationella program,15609112,"12,7"
Nationella program,44285075,"13,8"
Nationella program,60424371,"13,8"
Nationella program,95785055,"17,0"
Nationella program,68655578,"12,3"
Nationella program,17062663,"12,5"
Nationella program,68741484,"12,5"
Nationella program,56267421,"14,4"
Nationella program,34990065,"13,4"
Nationella program,37054246,"13,8"
Nationella program,39199869,"15,3"
Nationella program,62216381,"13,2"
Nationella program,31179045,"13,0"
Nationella program,72421673,"14,5"
Nationella program,15763669,..
Nationella program,59655752,"15,7"
Nationella program,88750078,"14,0"
Nationella program,41878314,..
Nationella program,41555549,"14,2"
Nationella program,32003298,"13,9"
Nationella program,22383788,"13,5"
Nationella program,85459854,"14,0"
Nationella program,81876614,"15,9"
Nationella program,18711877,"14,5"
Nationella program,67071618,"14,8"
Nationella program,75324351,"13,9"
Nationella program,61229217,"12,8"
Nationella program,58929357,"14,8"
Nationella program,42517257,"14,2"
Nationella program,70376604,"14,4"
Nationella program,59575030,"14,4"
Nationella program,93503103,"13,6"
Nationella program,18617410,"14,0"
Nationella program,41697930,"13,3"
Nationella program,28025244,"14,1"
Nationella program,17184072,"12,5"
Nationella program,40338843,"14,0"
Nationella program,77440824,"14,1"
Nationella program,71069359,"12,9"
Nationella program,86896907,"13,7"
Nationella program,14292382,"14,9"
Nationella program,51981332,"15,5"
Nationella program,87859089,"13,9"
Nationella program,54764253,"13,0"
Nationella program,98908403,"13,3"
Nationella program,16493131,"14,5"
Nationella program,41119610,"15,6"
Nationella program,83272868,"14,4"
Nationella program,11526364,"13,3"
Nationella program,48304166,"12,9"
Nationella program,24982097,"13,0"
Nationella program,45552626,"14,2"
Nationella program,50906954,.
Nationella program,97104132,"15,3"
Nationella program,16748680,"14,3"
Nationella program,68597767,"12,9"
Nationella program,27964873,"11,8"
Nationella program,30706655,"12,7"
Nationella program,65674821,"13,8"
Nationella program,92332557,"14,3"
Nationella program,46332927,"14,2"
Nationella program,78690637,"14,0"
Nationella program,24653673,"13,3"
Nationella program,38048202,"14,0"
Nationella program,90990441,"12,0"
Nationella program,86319615,"12,7"
Nationella program,87303004,"12,4"
Nationella program,97835550,"12,3"
Nationella program,22446331,"13,6"
Nationella program,26671095,"13,4"
Nationella program,42911621,"13,5"
Nationella program,40575001,"12,5"
Nationella program,75027822,"13,0"
Nationella program,26508763,"13,9"
Nationella program,14504503,"12,9"
Nationella program,21850904,"17,2"
Nationella program,65320354,"16,4"
Nationella program,77544055,"14,3"
Nationella program,49112879,"14,8"
Nationella program,30279258,"14,3"
Nationella program,16198647,"14,1"
Nationella program,12496135,"12,5"
Nationella program,76903284,"13,3"
Nationella program,68649663,"12,9"
Nationella program,43623146,..
Nationella program,49141105,"12,8"
Nationella program,15870428,"12,9"
Nationella program,26646080,"14,7"
Nationella program,26750052,"14,5"
