program,skolkod,andel_minst_e_eng5
Nationella program,97868185,"100,0"
Nationella program,81551726,"88,9"
Nationella program,77823650,"98,2"
Nationella program,37550979,"100,0"
Nationella program,52634142,"98,9"
Nationella program,76195214,"98,5"
Nationella program,54839753,..
Nationella program,32705515,"98,2"
Nationella program,60214465,"97,3"
Nationella program,70137084,"96,6"
Nationella program,82002016,"98,5"
Nationella program,21901328,"89,5"
Nationella program,23306658,"99,2"
Nationella program,57350392,..
Nationella program,97535124,"100,0"
Nationella program,11102578,"100,0"
Nationella program,69306209,"97,5"
Nationella program,92651253,"95,2"
Nationella program,31740319,"100,0"
Nationella program,10129345,"100,0"
Nationella program,17944628,"100,0"
Nationella program,82826083,"100,0"
Nationella program,94468610,"100,0"
Nationella program,94090461,"100,0"
Nationella program,12954099,"100,0"
Nationella program,80931789,"100,0"
Nationella program,84098842,"96,6"
Nationella program,90473340,"100,0"
Nationella program,26167236,"94,6"
Nationella program,69807202,"100,0"
Nationella program,64648904,"100,0"
Nationella program,75939593,"99,7"
Nationella program,63035915,"96,4"
Nationella program,26324896,"100,0"
Nationella program,56639389,"100,0"
Nationella program,95700485,"100,0"
Nationella program,51449748,"100,0"
Nationella program,28267726,"100,0"
Nationella program,28848709,"100,0"
Nationella program,12613085,"98,0"
Nationella program,53896162,"100,0"
Nationella program,17779637,"100,0"
Nationella program,11185244,"88,6"
Nationella program,56211717,"100,0"
Nationella program,66824652,"100,0"
Nationella program,49168016,"100,0"
Nationella program,32042066,"100,0"
Nationella program,50821167,..
Nationella program,71929526,"100,0"
Nationella program,92814975,"100,0"
Nationella program,60873719,"100,0"
Nationella program,28085125,"100,0"
Nationella program,28770304,"97,3"
Nationella program,21938183,"100,0"
Nationella program,78986228,.
Nationella program,71472793,"100,0"
Nationella program,64123241,"93,3"
Nationella program,69063711,"100,0"
Nationella program,77609073,"92,3"
Nationella program,35894996,"100,0"
Nationella program,12926770,"100,0"
Nationella program,17119840,"100,0"
Nationella program,68748767,"97,9"
Nationella program,23548714,"100,0"
Nationella program,48593439,"100,0"
Nationella program,91773491,"98,6"
Nationella program,30361243,"100,0"
Nationella program,25596917,"100,0"
Nationella program,65722876,"100,0"
Nationella program,20984584,"100,0"
Nationella program,52129378,"100,0"
Nationella program,65381163,"99,5"
Nationella program,98541468,"88,9"
Nationella program,31155312,"100,0"
Nationella program,25648215,"91,7"
Nationella program,61823258,"100,0"
Nationella program,84424083,"100,0"
Nationella program,39178171,"100,0"
Nationella program,49231191,"100,0"
Nationella program,78231062,"100,0"
Nationella program,79994304,..
Nationella program,10481541,"100,0"
Nationella program,68006362,"96,7"
Nationella program,11608031,"98,0"
Nationella program,86762103,"100,0"
Nationella program,68381790,"98,8"
Nationella program,13006857,"98,0"
Nationella program,76007769,"100,0"
Nationella program,16956086,"99,0"
Nationella program,58187973,"100,0"
Nationella program,88894245,"100,0"
Nationella program,31870541,"100,0"
Nationella program,71160225,"96,0"
Nationella program,67752682,"100,0"
Nationella program,47884009,"96,8"
Nationella program,44672598,"100,0"
Nationella program,75340089,"100,0"
Nationella program,36670439,"100,0"
Nationella program,22220001,"98,3"
Nationella program,31822012,"94,7"
Nationella program,83161201,"98,8"
Nationella program,15100079,..
Nationella program,55421481,..
Nationella program,99356671,"94,1"
Nationella program,16702464,"100,0"
Nationella program,71353314,..
Nationella program,29449669,"97,2"
Nationella program,62855448,"96,3"
Nationella program,36252055,"99,7"
Nationella program,91812793,"100,0"
Nationella program,14355031,"100,0"
Nationella program,72891848,"97,6"
Nationella program,46611859,"98,9"
Nationella program,58907711,"100,0"
Nationella program,68285560,"100,0"
Nationella program,58544422,"100,0"
Nationella program,65150019,"100,0"
Nationella program,31796890,..
Nationella program,22426680,"92,3"
Nationella program,83805032,"79,3"
Nationella program,48862305,"97,5"
Nationella program,32887559,"100,0"
Nationella program,71541108,"92,5"
Nationella program,53832505,"100,0"
Nationella program,47537928,"100,0"
Nationella program,69471748,"96,5"
Nationella program,49750031,"100,0"
Nationella program,76485705,"100,0"
Nationella program,93239262,"100,0"
Nationella program,25745773,"100,0"
Nationella program,99976753,"100,0"
Nationella program,14278480,"91,7"
Nationella program,75575321,"100,0"
Nationella program,28023078,"98,5"
Nationella program,43284031,"97,6"
Nationella program,13963517,"100,0"
Nationella program,24194577,..
Nationella program,26267406,"100,0"
Nationella program,31255918,"98,5"
Nationella program,51955293,"100,0"
Nationella program,57690933,"100,0"
Nationella program,35035671,"100,0"
Nationella program,12130801,"100,0"
Nationella program,51736304,"100,0"
Nationella program,53180719,"100,0"
Nationella program,27489137,"100,0"
Nationella program,15609112,"100,0"
Nationella program,44285075,"100,0"
Nationella program,60424371,"100,0"
Nationella program,95785055,"100,0"
Nationella program,68655578,"100,0"
Nationella program,17062663,"98,2"
Nationella program,68741484,"100,0"
Nationella program,56267421,"100,0"
Nationella program,34990065,"96,4"
Nationella program,37054246,"98,6"
Nationella program,39199869,"100,0"
Nationella program,62216381,"100,0"
Nationella program,31179045,"100,0"
Nationella program,72421673,"100,0"
Nationella program,15763669,..
Nationella program,59655752,"100,0"
Nationella program,88750078,"100,0"
Nationella program,41878314,..
Nationella program,41555549,"97,9"
Nationella program,32003298,"100,0"
Nationella program,22383788,"100,0"
Nationella program,85459854,"100,0"
Nationella program,81876614,"100,0"
Nationella program,18711877,"100,0"
Nationella program,67071618,"95,5"
Nationella program,75324351,"100,0"
Nationella program,61229217,"98,6"
Nationella program,58929357,"100,0"
Nationella program,42517257,"93,8"
Nationella program,70376604,"100,0"
Nationella program,59575030,"100,0"
Nationella program,93503103,"100,0"
Nationella program,18617410,"100,0"
Nationella program,41697930,"100,0"
Nationella program,28025244,"100,0"
Nationella program,17184072,"100,0"
Nationella program,40338843,"98,8"
Nationella program,77440824,"100,0"
Nationella program,71069359,"100,0"
Nationella program,86896907,"93,5"
Nationella program,14292382,"99,1"
Nationella program,51981332,"100,0"
Nationella program,87859089,"96,6"
Nationella program,54764253,"100,0"
Nationella program,98908403,"99,4"
Nationella program,16493131,"99,1"
Nationella program,41119610,"100,0"
Nationella program,83272868,"100,0"
Nationella program,11526364,"100,0"
Nationella program,48304166,"100,0"
Nationella program,24982097,"88,9"
Nationella program,45552626,"100,0"
Nationella program,50906954,.
Nationella program,97104132,"100,0"
Nationella program,16748680,"100,0"
Nationella program,68597767,"100,0"
Nationella program,27964873,"97,2"
Nationella program,30706655,"95,0"
Nationella program,65674821,"96,8"
Nationella program,92332557,"98,8"
Nationella program,46332927,"97,3"
Nationella program,78690637,"99,7"
Nationella program,24653673,"95,2"
Nationella program,38048202,"98,1"
Nationella program,90990441,"100,0"
Nationella program,86319615,"93,8"
Nationella program,87303004,"100,0"
Nationella program,97835550,"90,9"
Nationella program,22446331,"91,9"
Nationella program,26671095,"100,0"
Nationella program,42911621,"99,0"
Nationella program,40575001,"94,7"
Nationella program,75027822,"100,0"
Nationella program,26508763,"97,4"
Nationella program,14504503,"92,3"
Nationella program,21850904,"100,0"
Nationella program,65320354,"100,0"
Nationella program,77544055,"98,9"
Nationella program,49112879,"100,0"
Nationella program,30279258,"100,0"
Nationella program,16198647,"100,0"
Nationella program,12496135,"100,0"
Nationella program,76903284,"97,4"
Nationella program,68649663,"100,0"
Nationella program,43623146,..
Nationella program,49141105,"100,0"
Nationella program,15870428,"96,6"
Nationella program,26646080,"100,0"
Nationella program,26750052,"100,0"
Nationella program,18974693,"100,0"
Nationella program,26996566,"100,0"
Nationella program,27704246,"99,4"
Nationella program,81997762,"96,7"
Nationella program,28967085,..
Nationella program,69747871,..
Nationella program,70119254,"100,0"
Nationella program,31151740,"100,0"
Nationella program,79346084,"100,0"
Nationella program,34222422,"93,3"
