program,skolkod,andel_minst_e_ma1
nationella program,29032715,"97,8"
nationella program,45830583,"100,0"
nationella program,48931433,"94,6"
nationella program,97270136,"89,7"
nationella program,19909435,"100,0"
nationella program,30530571,"99,5"
nationella program,78839208,"100,0"
nationella program,96024712,"100,0"
nationella program,30458073,..
nationella program,40829056,"100,0"
nationella program,85800840,"99,3"
nationella program,68920727,"100,0"
nationella program,27115998,"98,8"
nationella program,41867682,"100,0"
nationella program,79516949,"98,6"
nationella program,65662401,"98,2"
nationella program,39583059,"98,4"
nationella program,38645259,"93,8"
nationella program,96684210,"100,0"
nationella program,87207941,"100,0"
nationella program,11673760,"93,4"
nationella program,46574937,"100,0"
nationella program,23836342,"98,5"
nationella program,63791419,"93,7"
nationella program,39805497,"100,0"
nationella program,38400227,"91,0"
nationella program,81619482,"100,0"
nationella program,83829189,"97,6"
nationella program,46145886,"98,3"
nationella program,12395564,"100,0"
nationella program,90006712,"100,0"
nationella program,43649848,"100,0"
nationella program,75344502,"75,0"
nationella program,84247499,"93,2"
nationella program,27041885,"97,4"
nationella program,39149668,"98,6"
nationella program,97064126,..
nationella program,32580162,"100,0"
nationella program,38233622,"100,0"
nationella program,48722826,"99,2"
nationella program,73063662,"90,5"
nationella program,40766349,"100,0"
nationella program,71571158,"93,8"
nationella program,53691739,"100,0"
nationella program,43251309,"100,0"
nationella program,97596286,"100,0"
nationella program,67554405,"100,0"
nationella program,86473502,"100,0"
nationella program,73944169,"100,0"
nationella program,98239050,"100,0"
nationella program,94455820,..
nationella program,58368956,"97,6"
nationella program,73567152,"85,7"
nationella program,61547652,"100,0"
nationella program,60209222,"96,6"
nationella program,62104139,"96,8"
nationella program,87034307,"98,3"
nationella program,78872213,"100,0"
nationella program,84286698,"100,0"
nationella program,62490359,"100,0"
nationella program,64725297,"100,0"
nationella program,43362941,"95,7"
nationella program,23350817,"91,7"
nationella program,76860623,"98,4"
nationella program,58191646,"98,9"
nationella program,80405898,"100,0"
nationella program,56021320,"100,0"
nationella program,41358402,"100,0"
nationella program,63179610,"95,7"
nationella program,64569393,"100,0"
nationella program,87262566,"95,1"
nationella program,64160122,"100,0"
nationella program,48217580,"99,3"
nationella program,41844601,"76,7"
nationella program,51620045,"100,0"
nationella program,86888278,"100,0"
nationella program,23457902,"100,0"
nationella program,27597104,"100,0"
nationella program,57397381,"96,7"
nationella program,56947954,"99,4"
nationella program,72022487,"98,7"
nationella program,71512894,"98,4"
nationella program,70969556,"95,0"
nationella program,28248021,"90,9"
nationella program,44417214,"99,2"
nationella program,25025681,"100,0"
nationella program,88776535,"100,0"
nationella program,49488344,"100,0"
nationella program,74408578,"97,5"
nationella program,71043974,"98,9"
nationella program,57777751,..
nationella program,38732602,"91,7"
nationella program,89807183,"100,0"
nationella program,86724994,"100,0"
nationella program,61161774,"99,3"
nationella program,86158933,"98,7"
nationella program,14102256,"97,5"
nationella program,75082280,"92,9"
nationella program,75914181,"98,4"
nationella program,39302565,"98,3"
nationella program,96818167,"100,0"
nationella program,36072799,"92,3"
nationella program,61432781,"93,0"
nationella program,78287294,"96,3"
nationella program,74316305,"97,1"
nationella program,39096170,"100,0"
nationella program,79527481,"100,0"
nationella program,67300857,"100,0"
nationella program,99279503,"98,6"
nationella program,63653488,..
