program,provnamn,skol_kod,andel_c
hantverksprogrammet,engelska 5,37358234,..
bygg- och anläggningsprogrammet,engelska 5,31657916,..
el- och energiprogrammet,engelska 5,31657916,..
fordons- och transportprogrammet,engelska 5,31657916,..
handels- och administrationsprogrammet,engelska 5,31657916,..
sjöfartsutbildningen,engelska 5,31657916,..
vård- och omsorgsprogrammet,engelska 5,31657916,..
handels- och administrationsprogrammet,engelska 5,54606928,..
fordons- och transportprogrammet,engelska 5,46241804,..
el- och energiprogrammet,engelska 5,42573391,..
handels- och administrationsprogrammet,engelska 5,42573391,..
hantverksprogrammet,engelska 5,42573391,..
barn- och fritidsprogrammet,engelska 5,64574972,.
vård- och omsorgsprogrammet,engelska 5,64574972,..
bygg- och anläggningsprogrammet,engelska 5,19741742,"38,9"
restaurang- och livsmedelsprogrammet,engelska 5,19741742,..
vvs- och fastighetsprogrammet,engelska 5,19741742,..
el- och energiprogrammet,engelska 5,29032715,..
fordons- och transportprogrammet,engelska 5,29032715,..
vård- och omsorgsprogrammet,engelska 5,48931433,"25,0"
handels- och administrationsprogrammet,engelska 5,97270136,..
hantverksprogrammet,engelska 5,97270136,"50,0"
restaurang- och livsmedelsprogrammet,engelska 5,97270136,..
el- och energiprogrammet,engelska 5,19909435,"31,3"
barn- och fritidsprogrammet,engelska 5,30530571,..
handels- och administrationsprogrammet,engelska 5,30530571,.
hantverksprogrammet,engelska 5,30530571,..
industritekniska programmet,engelska 5,30530571,.
restaurang- och livsmedelsprogrammet,engelska 5,30530571,..
barn- och fritidsprogrammet,engelska 5,96024712,"23,8"
hantverksprogrammet,engelska 5,96024712,.
vård- och omsorgsprogrammet,engelska 5,96024712,..
bygg- och anläggningsprogrammet,engelska 5,40829056,..
fordons- och transportprogrammet,engelska 5,40829056,.
handels- och administrationsprogrammet,engelska 5,40829056,.
hantverksprogrammet,engelska 5,40829056,..
naturbruksprogrammet,engelska 5,40829056,..
vård- och omsorgsprogrammet,engelska 5,40829056,..
bygg- och anläggningsprogrammet,engelska 5,85800840,"17,4"
el- och energiprogrammet,engelska 5,85800840,"46,7"
fordons- och transportprogrammet,engelska 5,85800840,..
vvs- och fastighetsprogrammet,engelska 5,85800840,..
barn- och fritidsprogrammet,engelska 5,27115998,"23,1"
el- och energiprogrammet,engelska 5,27115998,"44,0"
el- och energiprogrammet,engelska 5,41867682,"33,3"
naturbruksprogrammet,engelska 5,65662401,..
barn- och fritidsprogrammet,engelska 5,39583059,"33,3"
bygg- och anläggningsprogrammet,engelska 5,39583059,"22,4"
el- och energiprogrammet,engelska 5,39583059,"34,5"
fordons- och transportprogrammet,engelska 5,39583059,"15,6"
hantverksprogrammet,engelska 5,39583059,"25,0"
vvs- och fastighetsprogrammet,engelska 5,39583059,"26,3"
barn- och fritidsprogrammet,engelska 5,38645259,.
bygg- och anläggningsprogrammet,engelska 5,38645259,..
el- och energiprogrammet,engelska 5,38645259,..
fordons- och transportprogrammet,engelska 5,38645259,..
