program,skolkod,andel_med_utokat_prog
nationella program,21627442,"45,5"
nationella program,17276047,"39,6"
nationella program,73217812,"26,3"
nationella program,21382451,"17,4"
nationella program,48244956,"34,5"
nationella program,36769815,..
nationella program,16931486,"47,6"
nationella program,92489953,"59,3"
nationella program,43873969,..
nationella program,55825382,..
nationella program,19306558,..
nationella program,35301145,"22,5"
nationella program,24993048,..
nationella program,70132092,"52,5"
nationella program,65034473,..
nationella program,13084253,"14,7"
nationella program,32321364,..
nationella program,59942080,..
nationella program,66273269,..
nationella program,82888663,"18,6"
nationella program,11275959,"23,5"
nationella program,58518163,"35,0"
nationella program,50615280,"77,8"
nationella program,19035583,"50,0"
nationella program,27993549,"24,7"
nationella program,37912396,"43,2"
nationella program,45593337,"40,8"
nationella program,90312942,"38,1"
nationella program,10226870,"55,0"
nationella program,19839859,..
nationella program,80280597,..
nationella program,67628478,"100,0"
nationella program,37517404,..
nationella program,29159460,"60,0"
nationella program,32057701,.
nationella program,43601850,..
nationella program,30615080,"34,5"
nationella program,89630851,..
nationella program,25178582,"59,4"
nationella program,70543431,..
nationella program,23476801,..
nationella program,86351879,"69,0"
nationella program,56041144,"20,8"
nationella program,14586562,.
nationella program,74322969,"30,4"
nationella program,90260899,"16,9"
nationella program,69302313,"56,5"
nationella program,31057219,"29,7"
nationella program,27079521,"30,6"
nationella program,33572033,"33,3"
nationella program,64579522,"40,3"
nationella program,65234368,"88,9"
nationella program,34381901,"47,5"
nationella program,55150847,..
nationella program,90076461,..
nationella program,96414537,"74,2"
nationella program,53069733,"57,1"
nationella program,99394620,"61,7"
nationella program,95368476,"42,0"
nationella program,14853321,"33,3"
nationella program,76448076,"25,6"
nationella program,31537066,"56,7"
nationella program,86488203,"25,2"
nationella program,25156286,"45,7"
nationella program,28081446,"18,5"
nationella program,21400668,..
nationella program,92949043,"27,3"
nationella program,92818240,"32,5"
nationella program,84329061,"27,2"
nationella program,71969230,"57,1"
nationella program,91048178,"18,6"
nationella program,82718660,..
nationella program,76942525,..
nationella program,12399380,.
nationella program,31486865,"12,8"
nationella program,97265732,"13,2"
nationella program,10373112,..
nationella program,61720981,"6,6"
nationella program,25698509,"50,0"
nationella program,50424828,"22,5"
nationella program,82931004,..
nationella program,83584125,..
nationella program,95024660,..
nationella program,32263814,..
nationella program,16496466,..
nationella program,12075195,..
nationella program,62300682,..
nationella program,47393891,..
nationella program,48414975,..
nationella program,65265211,..
nationella program,11533776,"44,0"
nationella program,47108751,..
nationella program,97191332,"41,4"
nationella program,71938440,..
nationella program,28829503,"46,7"
nationella program,22811839,"26,2"
nationella program,33205596,..
nationella program,99622695,..
nationella program,19930101,"22,8"
nationella program,60727136,..
nationella program,45132264,..
nationella program,61647360,..
nationella program,98651664,"29,9"
nationella program,33657492,"43,1"
nationella program,61622991,"31,9"
nationella program,66644568,..
nationella program,93659517,"31,6"
nationella program,79309485,..
nationella program,61175914,..
nationella program,73316818,"71,9"
nationella program,37078868,..
nationella program,27859889,..
nationella program,16130958,..
nationella program,29161632,..
nationella program,82195565,.
nationella program,33596572,..
nationella program,45541222,..
nationella program,77713695,"97,5"
nationella program,63451147,..
nationella program,51131594,.
nationella program,89680395,..
nationella program,53696633,..
nationella program,27440210,"31,3"
nationella program,62758285,..
nationella program,16218090,..
nationella program,61197669,..
nationella program,64667996,..
nationella program,17812651,"81,0"
nationella program,23544320,"35,5"
nationella program,57668673,..
nationella program,69040241,"57,9"
nationella program,63993414,..
nationella program,49136871,..
nationella program,91905819,..
nationella program,20855811,"9,9"
nationella program,54882637,"81,3"
nationella program,53923398,"24,4"
nationella program,74560191,..
nationella program,47844862,"60,8"
nationella program,22239675,"85,7"
nationella program,72984079,"44,9"
nationella program,36480690,"27,6"
nationella program,24787883,"47,6"
nationella program,32995170,"58,3"
nationella program,52048443,"52,2"
nationella program,61674097,..
nationella program,32550660,"14,7"
nationella program,93488613,..
nationella program,45600034,..
nationella program,59599256,"20,9"
nationella program,69865450,"30,0"
nationella program,31112935,..
nationella program,26957025,"31,2"
nationella program,90509211,"12,0"
nationella program,43277545,"33,9"
nationella program,37316242,"20,7"
nationella program,20173336,"42,4"
nationella program,49872493,"75,9"
nationella program,39147056,"52,8"
nationella program,11953769,..
nationella program,28646435,"52,0"
nationella program,50393060,"23,5"
nationella program,85788659,..
nationella program,95340745,..
nationella program,59521477,"36,6"
nationella program,92442684,"65,0"
nationella program,66095163,..
nationella program,38544187,"51,1"
nationella program,54599691,"30,5"
nationella program,54004368,"41,4"
nationella program,54467211,"75,6"
nationella program,23517683,"78,9"
nationella program,31975673,"19,2"
nationella program,82251333,"60,0"
nationella program,99864908,"20,8"
nationella program,27106031,"28,2"
nationella program,59463950,"83,3"
nationella program,63931325,"26,3"
nationella program,57391913,"42,7"
nationella program,75374280,"51,1"
nationella program,46148350,"48,5"
nationella program,50133877,"46,8"
nationella program,49868916,"40,3"
nationella program,74919147,..
nationella program,90240730,"24,7"
nationella program,84908877,"38,7"
