program,skolkod,gbp_examen
Nationella program,50821167,..
Nationella program,71929526,"15,3"
Nationella program,92814975,"13,4"
Nationella program,60873719,"15,6"
Nationella program,28085125,"13,6"
Nationella program,28770304,"13,3"
Nationella program,21938183,"15,4"
Nationella program,78986228,.
Nationella program,71472793,"14,4"
Nationella program,64123241,"12,6"
Nationella program,69063711,"13,6"
Nationella program,77609073,"13,4"
Nationella program,35894996,"14,2"
Nationella program,12926770,"13,8"
Nationella program,17119840,"13,2"
Nationella program,68748767,"13,7"
Nationella program,23548714,"15,0"
Nationella program,48593439,"14,6"
Nationella program,91773491,"15,3"
Nationella program,30361243,"15,3"
Nationella program,25596917,"15,2"
Nationella program,65722876,"15,7"
Nationella program,20984584,"12,3"
Nationella program,52129378,"14,1"
Nationella program,65381163,"14,3"
Nationella program,98541468,"11,2"
Nationella program,31155312,"14,1"
Nationella program,25648215,"12,7"
Nationella program,61823258,"14,0"
Nationella program,84424083,"17,7"
Nationella program,39178171,"14,4"
Nationella program,49231191,"14,5"
Nationella program,78231062,"16,7"
Nationella program,79994304,..
Nationella program,10481541,"14,8"
Nationella program,68006362,"13,6"
Nationella program,11608031,"13,4"
Nationella program,86762103,"12,6"
Nationella program,68381790,"14,7"
Nationella program,13006857,"14,9"
Nationella program,76007769,"12,8"
Nationella program,16956086,"14,7"
Nationella program,58187973,"15,7"
Nationella program,88894245,"13,8"
Nationella program,31870541,"14,3"
Nationella program,71160225,"12,9"
Nationella program,67752682,"13,5"
Nationella program,47884009,"13,9"
Nationella program,44672598,"14,5"
Nationella program,75340089,"13,8"
Nationella program,36670439,"13,0"
Nationella program,22220001,"13,3"
Nationella program,31822012,"14,2"
Nationella program,83161201,"15,3"
Nationella program,15100079,..
Nationella program,55421481,..
Nationella program,99356671,"13,9"
Nationella program,16702464,"14,0"
Nationella program,71353314,..
Nationella program,29449669,"14,5"
Nationella program,62855448,"13,5"
Nationella program,36252055,"15,9"
Nationella program,91812793,"15,3"
Nationella program,14355031,"15,2"
Nationella program,72891848,"12,7"
Nationella program,46611859,"16,6"
Nationella program,58907711,"16,0"
Nationella program,68285560,"14,8"
Nationella program,58544422,"14,4"
Nationella program,65150019,"16,1"
Nationella program,31796890,..
Nationella program,22426680,..
Nationella program,83805032,"12,3"
Nationella program,48862305,"12,7"
Nationella program,32887559,"13,3"
Nationella program,71541108,"15,5"
Nationella program,53832505,"14,3"
Nationella program,47537928,"15,7"
Nationella program,69471748,"13,9"
Nationella program,49750031,"15,1"
Nationella program,76485705,"15,3"
Nationella program,93239262,"14,5"
Nationella program,25745773,"15,4"
Nationella program,99976753,"14,2"
Nationella program,14278480,"13,8"
Nationella program,75575321,"16,0"
Nationella program,28023078,"13,9"
Nationella program,43284031,"13,5"
Nationella program,13963517,"14,7"
Nationella program,24194577,..
Nationella program,26267406,"14,1"
Nationella program,31255918,"14,7"
Nationella program,51955293,"14,9"
Nationella program,57690933,"14,5"
Nationella program,35035671,"14,1"
Nationella program,12130801,"15,0"
Nationella program,51736304,"15,2"
Nationella program,53180719,"13,3"
Nationella program,27489137,"14,3"
Nationella program,15609112,"12,7"
Nationella program,44285075,"14,5"
Nationella program,60424371,"14,0"
Nationella program,95785055,"17,0"
Nationella program,68655578,"13,0"
Nationella program,17062663,"12,7"
Nationella program,68741484,"12,9"
Nationella program,56267421,"14,4"
Nationella program,34990065,"13,8"
Nationella program,37054246,"14,1"
Nationella program,39199869,"15,5"
Nationella program,62216381,"13,7"
Nationella program,31179045,"13,5"
Nationella program,72421673,"14,6"
Nationella program,15763669,..
Nationella program,59655752,"16,0"
Nationella program,88750078,"14,2"
Nationella program,41878314,..
Nationella program,41555549,"14,6"
Nationella program,32003298,"13,9"
Nationella program,22383788,"13,8"
Nationella program,85459854,"14,1"
Nationella program,81876614,"16,0"
Nationella program,18711877,"14,5"
Nationella program,67071618,"15,0"
Nationella program,75324351,"13,9"
Nationella program,61229217,"13,8"
Nationella program,58929357,"14,8"
Nationella program,42517257,"15,3"
Nationella program,70376604,"14,7"
Nationella program,59575030,"14,8"
Nationella program,93503103,"13,6"
Nationella program,18617410,"14,6"
Nationella program,41697930,"13,3"
Nationella program,28025244,"14,5"
Nationella program,17184072,"12,5"
Nationella program,40338843,"14,2"
Nationella program,77440824,"14,4"
Nationella program,71069359,"12,9"
Nationella program,86896907,"14,1"
Nationella program,14292382,"15,2"
Nationella program,51981332,"15,5"
Nationella program,87859089,"14,4"
Nationella program,54764253,"13,0"
Nationella program,98908403,"14,6"
Nationella program,16493131,"14,7"
Nationella program,41119610,"15,6"
Nationella program,83272868,"14,6"
Nationella program,11526364,"13,6"
Nationella program,48304166,"12,9"
Nationella program,24982097,"14,4"
Nationella program,45552626,"15,0"
Nationella program,50906954,.
Nationella program,97104132,"15,3"
Nationella program,16748680,"14,8"
Nationella program,68597767,..
Nationella program,27964873,"12,5"
Nationella program,30706655,"13,7"
Nationella program,65674821,"14,4"
Nationella program,92332557,"14,9"
Nationella program,46332927,"14,4"
Nationella program,78690637,"14,6"
Nationella program,24653673,"13,4"
Nationella program,38048202,"14,3"
Nationella program,90990441,"13,2"
Nationella program,86319615,"13,3"
Nationella program,87303004,"12,7"
Nationella program,97835550,"13,1"
Nationella program,22446331,"14,3"
Nationella program,26671095,"13,4"
Nationella program,42911621,"13,6"
Nationella program,40575001,"13,3"
Nationella program,75027822,"13,0"
Nationella program,26508763,"14,0"
Nationella program,14504503,"13,2"
Nationella program,21850904,"17,2"
Nationella program,65320354,"16,4"
Nationella program,77544055,"14,8"
Nationella program,49112879,"15,4"
Nationella program,30279258,"14,6"
Nationella program,16198647,"14,2"
Nationella program,12496135,"12,5"
Nationella program,76903284,"13,8"
Nationella program,68649663,"13,7"
Nationella program,43623146,..
Nationella program,49141105,"14,2"
Nationella program,15870428,"13,5"
Nationella program,26646080,"15,2"
Nationella program,26750052,"14,7"
Nationella program,18974693,"15,0"
Nationella program,26996566,..
Nationella program,27704246,"16,3"
Nationella program,81997762,"12,7"
Nationella program,28967085,..
Nationella program,69747871,..
Nationella program,70119254,"13,5"
Nationella program,31151740,"15,0"
Nationella program,79346084,"14,6"
Nationella program,34222422,"14,9"
Nationella program,84230226,..
Nationella program,42060237,"13,0"
Nationella program,89816391,"13,6"
Nationella program,14448619,"13,9"
Nationella program,12546590,"14,7"
Nationella program,43565270,"14,8"
Nationella program,77176811,"14,8"
Nationella program,52791537,"16,4"
Nationella program,85152591,"16,9"
Nationella program,85819857,"16,7"
Nationella program,40600798,"15,7"
Nationella program,52942981,"14,8"
Nationella program,54117171,"15,8"
Nationella program,48120273,"17,5"
Nationella program,33233228,..
Nationella program,94167577,"14,0"
Nationella program,27023528,"15,0"
Nationella program,53903798,"13,5"
Nationella program,85782695,"12,8"
Nationella program,98815582,"14,9"
Nationella program,97770837,"14,6"
Nationella program,21312503,"14,9"
Nationella program,69650864,"17,7"
Nationella program,59581397,"13,9"
Nationella program,14926020,"12,6"
Nationella program,41938272,"16,2"
Nationella program,29423248,"15,9"
Nationella program,76054399,"16,7"
Nationella program,33132452,"13,3"
Nationella program,56942970,..
Nationella program,60142020,..
Nationella program,70811222,"17,1"
Nationella program,17911161,"14,1"
Nationella program,35084976,"15,8"
Nationella program,25525759,.
Nationella program,77632411,"16,3"
Nationella program,56653353,"14,9"
Nationella program,49068301,"15,3"
Nationella program,59898194,"15,4"
Nationella program,38195284,"14,5"
Nationella program,97510495,"14,6"
Nationella program,89461767,"14,8"
Nationella program,94717858,"14,9"
Nationella program,53760158,"16,1"
Nationella program,78422467,"15,4"
Nationella program,37802196,..
Nationella program,38683336,"15,9"
Nationella program,36288955,"18,3"
Nationella program,74812809,"17,3"
Nationella program,88839172,"18,0"
Nationella program,48412612,"14,8"
Nationella program,95618280,"15,0"
Nationella program,75075402,"14,5"
Nationella program,26326048,"14,5"
Nationella program,37839488,"13,7"
Nationella program,46256929,"14,4"
Nationella program,83374651,"18,2"
Nationella program,59796774,"17,9"
Nationella program,17675502,"13,4"
Nationella program,75600007,"14,6"
Nationella program,73812226,"14,8"
Nationella program,30762346,..
Nationella program,82964090,"17,3"
Nationella program,88955893,"16,9"
Nationella program,15278518,"14,5"
Nationella program,15390992,"15,0"
Nationella program,63943560,"13,5"
Nationella program,85516596,"14,7"
Nationella program,31998226,..
Nationella program,38236800,"13,3"
Nationella program,16784385,"15,7"
Nationella program,59026584,"14,8"
Nationella program,79829846,"13,7"
Nationella program,89963319,..
Nationella program,24339566,"15,4"
Nationella program,20061769,"13,8"
Nationella program,65458415,..
Nationella program,95154882,"13,2"
Nationella program,52333875,"14,7"
Nationella program,24663703,..
Nationella program,28519815,"15,3"
Nationella program,65666808,"13,5"
Nationella program,69543519,"13,6"
Nationella program,24397215,"14,8"
Nationella program,30677562,"14,1"
Nationella program,85054102,"13,1"
Nationella program,87274273,"15,1"
Nationella program,89693952,.
