skolkod,andel_med_examen
67058407,"84,3"
34421265,"88,9"
15791044,"95,0"
65392939,"95,5"
98696836,"96,5"
82160887,"88,9"
23175129,"83,3"
64908550,"96,8"
77358716,"93,9"
49739986,"89,0"
29225010,"88,2"
92192566,"78,2"
56886667,"96,1"
33249781,"80,8"
64648566,"92,1"
18691102,..
70302356,"92,0"
65421426,"91,3"
62394916,"100,0"
67908927,"87,5"
72071234,"99,4"
24349146,"93,6"
83605345,"90,5"
15933512,"96,5"
12198363,..
47692481,"95,7"
64693272,"81,5"
18072172,"100,0"
65833454,"96,2"
85188855,"95,7"
11341077,"93,5"
39528347,"94,4"
34988313,"95,5"
85473846,"98,6"
29744774,..
89690587,"83,0"
28045567,"98,1"
20768651,"89,5"
32239920,"93,8"
98781765,"89,9"
38880984,"89,6"
28872974,"78,4"
87112995,"75,0"
18686599,"92,7"
93779220,"88,6"
77797484,"92,6"
53279140,"85,1"
80785976,"91,1"
47559319,"94,1"
21532545,"91,3"
56187883,"76,5"
20752831,"79,5"
51023367,"98,4"
34739511,"100,0"
95069937,"100,0"
52690153,"100,0"
74776778,"96,4"
18345915,"98,0"
68229719,"98,3"
61004230,"89,8"
71262305,"94,1"
55795961,"100,0"
84947634,"100,0"
23517336,"100,0"
48009865,"89,6"
82840198,"100,0"
18208087,"90,0"
89982804,..
19464342,"100,0"
60743463,"100,0"
32960825,"93,4"
43609520,"93,3"
97968599,"94,1"
91748148,"88,5"
42218661,"84,8"
74434644,"87,5"
42022406,"91,1"
65192707,"95,7"
43634528,"96,2"
36263479,"95,4"
56679384,"97,4"
30538202,"89,3"
19150273,"90,9"
69018222,"77,6"
12889940,"92,6"
16554575,.
34076477,"88,6"
54896448,"100,0"
64284020,..
53400472,"65,0"
97758137,"71,7"
26334561,"89,9"
40386043,"85,8"
59483268,"79,5"
33685428,"94,4"
32879845,"100,0"
88573795,..
20699742,"96,3"
21663998,"89,0"
20595770,"90,5"
82814120,"100,0"
45164827,"94,9"
10924758,"94,6"
34153869,"97,2"
88259298,"80,0"
17846181,"91,2"
75082798,"89,7"
23555409,"97,5"
30341162,"86,2"
72266906,"84,9"
27030026,"91,3"
16950252,"96,9"
34637764,"89,0"
19912478,"91,7"
15077883,"87,8"
48434184,"91,8"
58724424,"85,7"
95684185,"97,1"
51138448,"85,0"
56421429,"100,0"
39911065,"91,2"
17008320,"96,9"
56737496,"86,8"
93939982,"95,5"
25720752,"93,9"
55155562,"83,7"
31533003,"97,8"
16361868,.
23164911,"97,0"
24008049,"98,4"
19981611,"94,7"
54481243,"100,0"
36680097,..
19586169,"83,3"
24273261,"100,0"
95683850,"98,5"
59455288,"85,7"
25679488,"90,8"
25677996,"91,2"
89888648,"89,4"
35063170,"94,1"
31279294,"76,9"
36782335,"96,0"
23897040,..
20666515,"100,0"
37906565,..
67279303,..
21648755,"84,8"
11111710,..
90551279,"89,2"
69686851,..
49616977,"84,9"
54965510,"92,7"
84835666,"78,2"
25872338,..
54164490,"72,0"
20319353,"73,5"
92194545,"98,4"
64740897,..
78979604,..
10974852,..
85068812,"68,0"
78397312,"97,4"
36444853,"82,9"
16819383,..
89837629,"84,5"
12994441,"79,6"
88774402,"98,9"
75141151,"64,6"
61701709,"96,6"
61469192,"93,7"
84306392,"98,9"
28627819,"89,3"
30086854,.
26627862,"97,9"
48847282,"86,7"
72517762,..
79094701,"100,0"
38684438,"86,4"
31251822,"85,7"
90099336,..
35647481,"85,1"
39549479,"81,0"
73147554,"100,0"
69983740,"100,0"
66491596,"100,0"
12052268,"78,9"
71597051,"100,0"
53231578,"97,9"
96279444,"83,6"
40690520,"100,0"
91011325,"86,7"
97382366,"87,2"
35006050,"84,8"
10638939,"36,4"
21505555,"98,3"
34336190,"100,0"
21052710,"98,3"
69739484,"77,5"
92887917,"94,7"
88834120,"92,0"
70066748,"85,9"
19207279,"99,4"
53640774,"94,2"
58502307,"100,0"
97177328,"68,8"
72127035,"95,5"
70969714,"96,6"
68734112,"95,0"
71922787,"92,9"
74148070,"97,2"
92507006,"97,0"
44653962,"100,0"
20100577,"87,2"
81993306,"88,9"
19051089,"97,2"
47264019,"96,8"
50198492,"90,9"
98052678,"89,4"
20099064,"92,5"
16313848,"77,5"
79606767,"72,1"
11294673,"100,0"
86327236,"100,0"
41745951,"100,0"
83137205,"88,4"
28398531,"81,8"
66335258,"81,0"
54172830,"92,3"
75458014,"88,2"
65136104,..
61826221,.
79033948,"97,2"
56330385,"81,4"
20228162,"100,0"
68240485,"100,0"
95046058,"94,7"
44392995,"88,9"
53462953,"91,3"
60730660,"100,0"
82592568,"86,7"
